,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
Newark and Sherwood,E07000175,10700,70800,15.1,5.5,10600,70800,15,5.5,18000,70800,25.5,6.7,16900,70800,23.9,6.5,6500,70800,9.1,4.4,8000,70800,11.3,4.8
Rushcliffe,E07000176,30300,69400,43.6,7.8,5800,69400,8.4,4.3,17200,69400,24.8,6.8,11800,69400,17,5.9,2300,69400,3.3,*,2000,69400,2.9,*
"Herefordshire, County of",E06000019,26400,108000,24.5,2.5,10400,108000,9.7,1.7,25800,108000,23.9,2.5,25500,108000,23.6,2.5,9600,108000,8.8,1.7,10200,108000,9.5,1.7
Shropshire,E06000051,44300,180400,24.5,2.9,20700,180400,11.5,2.2,45700,180400,25.3,3,41000,180400,22.7,2.8,17300,180400,9.6,2,11400,180400,6.3,1.7
Stoke-on-Trent,E06000021,27900,153100,18.2,2.7,10400,153100,6.8,1.8,32000,153100,20.9,2.9,42100,153100,27.5,3.2,13800,153100,9,2,26800,153100,17.5,2.7
Telford and Wrekin,E06000020,18300,105600,17.3,2.5,10000,105600,9.4,1.9,29200,105600,27.7,3,29700,105600,28.1,3,10800,105600,10.2,2,7700,105600,7.3,1.7
Cannock Chase,E07000192,11400,59600,19,6.7,6100,59600,10.2,5.1,11600,59600,19.4,6.7,19000,59600,31.9,7.9,6500,59600,10.9,5.3,5100,59600,8.5,4.7
East Staffordshire,E07000193,12000,70200,17.2,6.1,6800,70200,9.6,4.8,15200,70200,21.6,6.6,20800,70200,29.6,7.4,3900,70200,5.6,*,11500,70200,16.4,6
Lichfield,E07000194,15900,61800,25.6,7.7,5400,61800,8.7,5,15500,61800,25,7.7,14700,61800,23.7,7.5,4100,61800,6.7,*,6400,61800,10.3,5.4
Newcastle-under-Lyme,E07000195,16700,78200,21.3,6.4,5500,78200,7.1,4,20500,78200,26.2,6.8,21600,78200,27.6,6.9,6300,78200,8.1,4.2,7600,78200,9.7,4.6
South Staffordshire,E07000196,16800,65100,25.8,7,9200,65100,14.1,5.6,19100,65100,29.3,7.3,13700,65100,21.1,6.6,1900,65100,2.9,*,4400,65100,6.8,4
Stafford,E07000197,23800,80900,29.4,6,10100,80900,12.5,4.4,14500,80900,17.9,5.1,22800,80900,28.2,5.9,5700,80900,7,3.4,4000,80900,4.9,2.9
Staffordshire Moorlands,E07000198,7600,55700,13.6,6.4,3900,55700,7,*,16600,55700,29.7,8.5,16600,55700,29.8,8.5,5900,55700,10.7,5.8,5200,55700,9.3,5.4
Tamworth,E07000199,9200,49000,18.8,7.9,4100,49000,8.4,*,13900,49000,28.4,9.1,12200,49000,24.9,8.7,2000,49000,4.1,*,7500,49000,15.4,7.2
North Warwickshire,E07000218,6000,39300,15.1,8,6000,39300,15.2,8,10000,39300,25.5,9.7,10000,39300,25.5,9.7,!,39300,!,!,6600,39300,16.8,8.3
Nuneaton and Bedworth,E07000219,14800,75900,19.5,5.5,7300,75900,9.6,4.1,13900,75900,18.3,5.4,22600,75900,29.8,6.3,6500,75900,8.6,3.9,10700,75900,14.2,4.8
Rugby,E07000220,19500,59200,32.9,7.2,4300,59200,7.3,4,10800,59200,18.2,5.9,13500,59200,22.9,6.4,7900,59200,13.3,5.2,3200,59200,5.5,*
Stratford-on-Avon,E07000221,26300,70300,37.4,6.6,6800,70300,9.7,4.1,14500,70300,20.6,5.5,16500,70300,23.5,5.8,3000,70300,4.3,2.8,3100,70300,4.4,2.8
Warwick,E07000222,43200,88800,48.6,6.7,5400,88800,6,3.2,18600,88800,20.9,5.5,10000,88800,11.3,4.3,7200,88800,8.1,3.7,4500,88800,5.1,3
Birmingham,E08000025,191300,685000,27.9,2.5,38000,685000,5.6,1.3,132300,685000,19.3,2.2,140900,685000,20.6,2.2,73300,685000,10.7,1.7,109200,685000,15.9,2
Coventry,E08000026,47200,224100,21.1,2.5,19600,224100,8.8,1.7,52000,224100,23.2,2.6,42800,224100,19.1,2.4,28600,224100,12.8,2.1,33900,224100,15.1,2.2
Dudley,E08000027,32500,186300,17.4,2.5,14500,186300,7.8,1.8,43700,186300,23.4,2.8,47900,186300,25.7,2.9,16600,186300,8.9,1.9,31300,186300,16.8,2.5
Sandwell,E08000028,27700,187800,14.8,2.2,11500,187800,6.1,1.5,33900,187800,18,2.4,51300,187800,27.3,2.8,19700,187800,10.5,1.9,43800,187800,23.3,2.7
Solihull,E08000029,35100,123000,28.5,2.9,9900,123000,8,1.7,28700,123000,23.4,2.7,30900,123000,25.1,2.8,8700,123000,7.1,1.6,9800,123000,7.9,1.7
Walsall,E08000030,23500,161400,14.6,2.2,11900,161400,7.4,1.6,32000,161400,19.8,2.5,43500,161400,27,2.8,19800,161400,12.3,2.1,30600,161400,18.9,2.5
Wolverhampton,E08000031,28300,155000,18.2,2.4,9600,155000,6.2,1.5,34000,155000,21.9,2.6,36700,155000,23.7,2.7,16400,155000,10.6,1.9,30100,155000,19.4,2.5
Bromsgrove,E07000234,17300,55100,31.4,7,4500,55100,8.2,4.2,11100,55100,20.2,6.1,15400,55100,28,6.8,3000,55100,5.4,*,3800,55100,6.8,3.8
Malvern Hills,E07000235,17600,40100,43.9,8.5,3200,40100,8,4.7,7700,40100,19.2,6.8,7400,40100,18.5,6.7,1800,40100,4.5,*,2400,40100,5.9,*
Redditch,E07000236,9700,54300,17.9,6.1,4000,54300,7.3,4.1,10200,54300,18.9,6.2,16100,54300,29.7,7.2,8300,54300,15.3,5.7,5900,54300,10.8,4.9
Worcester,E07000237,17300,63900,27.1,6.8,6900,63900,10.8,4.7,12900,63900,20.3,6.1,15300,63900,23.9,6.5,4900,63900,7.7,4.1,6500,63900,10.1,4.6
Wychavon,E07000238,18200,72900,24.9,6.2,11700,72900,16.1,5.3,16400,72900,22.5,6,14500,72900,19.9,5.8,4100,72900,5.7,3.3,8000,72900,10.9,4.5
Wyre Forest,E07000239,12800,58200,22.1,6.5,7100,58200,12.2,5.1,14500,58200,24.9,6.7,11100,58200,19,6.1,4000,58200,6.8,3.9,8700,58200,15,5.6
Bedford,E06000055,30500,99400,30.6,5.2,7300,99400,7.4,2.9,18100,99400,18.2,4.3,22500,99400,22.6,4.7,13200,99400,13.2,3.8,7900,99400,8,3
Central Bedfordshire,E06000056,47600,171600,27.7,3.8,19700,171600,11.5,2.7,35900,171600,20.9,3.4,44600,171600,26,3.7,11900,171600,6.9,2.1,11900,171600,6.9,2.1
Luton,E06000032,31700,137300,23.1,2.4,9600,137300,7,1.5,25700,137300,18.7,2.2,31700,137300,23.1,2.4,18000,137300,13.1,1.9,20600,137300,15,2
Peterborough,E06000031,21300,119500,17.9,2.5,10600,119500,8.8,1.8,23500,119500,19.6,2.5,32300,119500,27,2.8,20700,119500,17.4,2.4,11100,119500,9.3,1.9
Southend-on-Sea,E06000033,21200,104900,20.2,3,7300,104900,7,1.9,22800,104900,21.8,3.1,30300,104900,28.9,3.4,11800,104900,11.2,2.4,11400,104900,10.9,2.3
Thurrock,E06000034,18300,102800,17.8,2.6,7200,102800,7,1.7,21200,102800,20.6,2.7,31400,102800,30.5,3.1,13700,102800,13.3,2.3,11100,102800,10.8,2.1
Cambridge,E07000008,58400,93200,62.7,6.8,3500,93200,3.8,*,10900,93200,11.7,4.5,8600,93200,9.2,4.1,7500,93200,8.1,3.8,4200,93200,4.5,2.9
East Cambridgeshire,E07000009,13800,52000,26.5,6.9,6500,52000,12.5,5.2,11600,52000,22.2,6.5,11300,52000,21.6,6.5,3600,52000,7,4,5300,52000,10.2,4.8
Fenland,E07000010,8600,59400,14.5,6,8400,59400,14.1,5.9,12100,59400,20.3,6.8,16400,59400,27.6,7.6,7800,59400,13.2,5.8,6000,59400,10.2,5.1
Huntingdonshire,E07000011,28400,107300,26.5,5.2,9600,107300,8.9,3.4,22500,107300,21,4.8,27300,107300,25.5,5.2,13300,107300,12.4,3.9,6200,107300,5.8,2.8
South Cambridgeshire,E07000012,40100,93300,42.9,5.6,7700,93300,8.3,3.1,20600,93300,22.1,4.7,19300,93300,20.6,4.6,3000,93300,3.3,2,2600,93300,2.8,*
Basildon,E07000066,27400,110600,24.7,5.8,5100,110600,4.6,2.8,33200,110600,30,6.2,28000,110600,25.3,5.9,8500,110600,7.7,3.6,8600,110600,7.7,3.6
Braintree,E07000067,14000,91900,15.3,4.6,11200,91900,12.2,4.2,18600,91900,20.3,5.2,34100,91900,37.1,6.2,7000,91900,7.7,3.4,6800,91900,7.5,3.4
Brentwood,E07000068,13400,46000,29.1,10.1,1600,46000,3.5,*,9900,46000,21.5,9.2,12400,46000,26.9,9.9,5400,46000,11.8,*,3300,46000,7.2,*
Castle Point,E07000069,6900,52100,13.2,6.8,2300,52100,4.5,*,12300,52100,23.6,8.5,18500,52100,35.5,9.6,7600,52100,14.6,7.1,4500,52100,8.6,*
Chelmsford,E07000070,25800,104700,24.6,5.2,9700,104700,9.2,3.5,21000,104700,20.1,4.9,32200,104700,30.8,5.6,8600,104700,8.2,3.3,7500,104700,7.1,3.1
Colchester,E07000071,29400,111600,26.3,5.3,7500,111600,6.7,3,30300,111600,27.2,5.4,27700,111600,24.8,5.2,7700,111600,6.9,3.1,9000,111600,8,3.3
Epping Forest,E07000072,20700,76400,27.1,6.5,6800,76400,8.9,4.2,16000,76400,21,6,18600,76400,24.4,6.3,8600,76400,11.3,4.6,5700,76400,7.4,3.8
Harlow,E07000073,7100,51100,13.9,6.8,3900,51100,7.5,*,11700,51100,23,8.3,15300,51100,29.9,9,9700,51100,19,7.7,3400,51100,6.7,*
Maldon,E07000074,9600,38500,24.8,9.8,4100,38500,10.6,*,9800,38500,25.3,9.8,6900,38500,18,8.7,5300,38500,13.6,7.8,3000,38500,7.7,*
Rochford,E07000075,9400,47300,19.8,8,3500,47300,7.3,*,10000,47300,21.1,8.2,16300,47300,34.5,9.5,3900,47300,8.2,*,4300,47300,9.2,*
Tendring,E07000076,12300,76500,16,5.7,2600,76500,3.3,*,22900,76500,29.9,7.2,25200,76500,33,7.4,5500,76500,7.2,4,8100,76500,10.6,4.8
Uttlesford,E07000077,15400,50200,30.7,8.3,3900,50200,7.9,4.8,10100,50200,20.1,7.2,14900,50200,29.7,8.2,1600,50200,3.2,*,4200,50200,8.4,5
Broxbourne,E07000095,17800,59700,29.8,7.5,4700,59700,7.8,4.4,13100,59700,21.9,6.8,17200,59700,28.9,7.5,3700,59700,6.1,*,3300,59700,5.6,*
Dacorum,E07000096,31000,92300,33.6,6.4,7300,92300,7.9,3.6,23900,92300,25.9,5.9,18200,92300,19.8,5.4,4400,92300,4.7,2.9,7400,92300,8.1,3.7
East Hertfordshire,E07000242,30600,91700,33.4,6.3,10100,91700,11.1,4.2,22800,91700,24.8,5.8,18200,91700,19.8,5.3,5900,91700,6.5,3.3,4100,91700,4.5,2.8
Hertsmere,E07000098,16400,62200,26.4,7.8,4700,62200,7.5,*,16800,62200,27.1,7.9,12800,62200,20.5,7.2,6500,62200,10.4,5.4,5100,62200,8.1,4.9
North Hertfordshire,E07000099,25900,77700,33.3,6.8,9400,77700,12.1,4.7,15000,77700,19.3,5.7,19300,77700,24.8,6.3,3000,77700,3.9,*,5000,77700,6.5,3.6
St Albans,E07000240,47900,87600,54.7,7.1,6500,87600,7.4,3.7,12500,87600,14.3,5,13600,87600,15.5,5.2,4300,87600,4.9,3.1,2800,87600,3.2,*
Stevenage,E07000243,9400,55400,17,6.1,3400,55400,6.1,3.9,12800,55400,23.1,6.8,19300,55400,34.8,7.7,5500,55400,9.9,4.9,5100,55400,9.2,4.7
Three Rivers,E07000102,16700,55700,30,9.1,9300,55700,16.7,7.4,11400,55700,20.5,8,11700,55700,21,8.1,3000,55700,5.4,*,3600,55700,6.5,*
Watford,E07000103,24700,62300,39.6,8.9,3100,62300,4.9,*,14200,62300,22.8,7.7,13800,62300,22.1,7.6,4000,62300,6.4,*,2600,62300,4.2,*
Welwyn Hatfield,E07000241,22400,75500,29.6,6.7,7700,75500,10.2,4.4,18400,75500,24.4,6.3,14200,75500,18.8,5.7,8300,75500,11,4.6,4500,75500,6,3.5
Breckland,E07000143,11900,77400,15.4,4.5,9900,77400,12.8,4.2,16100,77400,20.8,5.1,17000,77400,21.9,5.2,14200,77400,18.3,4.8,8300,77400,10.8,3.9
Broadland,E07000144,13600,72100,18.8,5.6,9500,72100,13.2,4.8,17100,72100,23.7,6,22000,72100,30.5,6.5,7300,72100,10.1,4.3,2600,72100,3.7,*
Great Yarmouth,E07000145,5700,56600,10.2,5.4,4100,56600,7.3,*,14200,56600,25.1,7.7,19500,56600,34.4,8.5,8600,56600,15.2,6.4,4500,56600,7.9,4.8
King's Lynn and West Norfolk,E07000146,15000,83900,17.8,5.4,4700,83900,5.6,3.2,22800,83900,27.2,6.3,18300,83900,21.8,5.8,11700,83900,14,4.9,11400,83900,13.6,4.8
North Norfolk,E07000147,6100,55000,11.1,5.2,6500,55000,11.9,5.3,11600,55000,21.2,6.7,18200,55000,33.1,7.7,6300,55000,11.4,5.2,6300,55000,11.4,5.2
Norwich,E07000148,31300,92800,33.7,5.7,5500,92800,6,2.9,19200,92800,20.7,4.9,20600,92800,22.1,5,10200,92800,10.9,3.8,6100,92800,6.6,3
South Norfolk,E07000149,19500,76300,25.5,6.6,4400,76300,5.8,3.5,21200,76300,27.8,6.8,16800,76300,22,6.2,7600,76300,9.9,4.5,6900,76300,9,4.3
Babergh,E07000200,7700,49600,15.6,6.4,4000,49600,8.1,4.8,11200,49600,22.6,7.4,17000,49600,34.3,8.4,5000,49600,10.1,5.3,4600,49600,9.3,5.1
Forest Heath,E07000201,8600,40200,21.5,7.7,2300,40200,5.8,*,6800,40200,16.8,7,6500,40200,16.2,6.9,8700,40200,21.6,7.7,7300,40200,18.1,7.2
Ipswich,E07000202,15300,85800,17.8,4.5,4000,85800,4.7,2.5,18400,85800,21.5,4.8,25500,85800,29.8,5.4,12800,85800,14.9,4.2,9700,85800,11.3,3.7
Mid Suffolk,E07000203,13400,58400,23,7.1,3700,58400,6.4,*,14400,58400,24.7,7.3,14600,58400,25,7.3,6400,58400,11,5.3,5800,58400,10,5.1
St Edmundsbury,E07000204,15100,64500,23.4,6.4,7300,64500,11.3,4.8,19100,64500,29.6,6.9,12400,64500,19.2,5.9,5500,64500,8.6,4.2,5100,64500,7.9,4.1
Suffolk Coastal,E07000205,18100,67600,26.8,6,6800,67600,10.1,4.1,16200,67600,24,5.8,13500,67600,20,5.4,10200,67600,15.1,4.8,2700,67600,4,*
Waveney,E07000206,7900,64200,12.4,4.8,5600,64200,8.8,4.1,19200,64200,29.9,6.7,17400,64200,27.1,6.5,8000,64200,12.5,4.9,6000,64200,9.4,4.3
Camden,E09000007,95500,168300,56.7,4.4,8200,168300,4.9,1.9,20700,168300,12.3,2.9,18000,168300,10.7,2.7,15200,168300,9.1,2.5,10600,168300,6.3,2.1
City of London,E09000001,4600,5700,79.3,*,!,5700,!,!,!,5700,!,!,!,5700,!,!,!,5700,!,!,!,5700,!,!
Hackney,E09000012,81500,191500,42.6,4,12600,191500,6.6,2,26600,191500,13.9,2.8,28200,191500,14.7,2.9,21600,191500,11.3,2.6,21100,191500,11,2.5
Hammersmith and Fulham,E09000013,74900,127100,58.9,4.3,10200,127100,8.1,2.4,16400,127100,12.9,2.9,9700,127100,7.6,2.3,9300,127100,7.3,2.3,6600,127100,5.2,1.9
Haringey,E09000014,83600,189500,44.1,4.1,10700,189500,5.6,1.9,32600,189500,17.2,3.1,23700,189500,12.5,2.7,21800,189500,11.5,2.6,17100,189500,9,2.4
Islington,E09000019,94400,168000,56.2,4.3,11000,168000,6.5,2.1,21400,168000,12.7,2.9,17000,168000,10.1,2.6,13600,168000,8.1,2.3,10700,168000,6.4,2.1
Kensington and Chelsea,E09000020,63200,108000,58.5,3.9,7100,108000,6.5,1.9,12800,108000,11.9,2.5,10200,108000,9.5,2.3,9000,108000,8.3,2.2,5700,108000,5.3,1.8
Lambeth,E09000022,140000,236000,59.3,4.7,14800,236000,6.3,2.3,27800,236000,11.8,3.1,20200,236000,8.5,2.7,18200,236000,7.7,2.6,15100,236000,6.4,2.4
Lewisham,E09000023,96400,206800,46.6,4.4,14000,206800,6.8,2.2,33800,206800,16.4,3.3,28300,206800,13.7,3,22000,206800,10.6,2.7,12200,206800,5.9,2.1
Newham,E09000025,81200,231100,35.1,3.7,18900,231100,8.2,2.1,37100,231100,16.1,2.8,26700,231100,11.5,2.4,41200,231100,17.8,2.9,26100,231100,11.3,2.4
Southwark,E09000028,113000,223000,50.7,3.9,13800,223000,6.2,1.9,32300,223000,14.5,2.8,24500,223000,11,2.5,22000,223000,9.8,2.3,17300,223000,7.7,2.1
Tower Hamlets,E09000030,87900,216100,40.7,4,11100,216100,5.1,1.8,38200,216100,17.7,3.1,30000,216100,13.9,2.8,26900,216100,12.4,2.7,22100,216100,10.2,2.5
Wandsworth,E09000032,137100,224400,61.1,4.3,12300,224400,5.5,2,28600,224400,12.8,2.9,11200,224400,5,1.9,25100,224400,11.2,2.8,10200,224400,4.5,1.8
Westminster,E09000033,101600,171600,59.2,4.1,6200,171600,3.6,1.5,19100,171600,11.1,2.6,18600,171600,10.8,2.6,17900,171600,10.4,2.5,8300,171600,4.8,1.8
Barking and Dagenham,E09000002,32500,125600,25.9,3.7,8600,125600,6.8,2.1,26400,125600,21,3.4,23400,125600,18.6,3.3,20300,125600,16.1,3.1,14400,125600,11.5,2.7
Barnet,E09000003,107300,241100,44.5,4.3,12100,241100,5,1.9,45100,241100,18.7,3.4,35800,241100,14.8,3.1,28400,241100,11.8,2.8,12500,241100,5.2,1.9
Bexley,E09000004,37300,151600,24.6,3.9,13600,151600,9,2.6,33800,151600,22.3,3.8,35200,151600,23.2,3.9,15400,151600,10.1,2.8,16300,151600,10.8,2.8
Brent,E09000005,84700,217900,38.9,3.6,13900,217900,6.4,1.8,35300,217900,16.2,2.7,30300,217900,13.9,2.5,39700,217900,18.2,2.8,13900,217900,6.4,1.8
Bromley,E09000006,83200,199400,41.8,4,11100,199400,5.6,1.9,44500,199400,22.3,3.4,37900,199400,19,3.2,14000,199400,7,2.1,8600,199400,4.3,1.6
Croydon,E09000008,77700,242500,32,3.9,21800,242500,9,2.4,51900,242500,21.4,3.5,49900,242500,20.6,3.4,23900,242500,9.8,2.5,17500,242500,7.2,2.2
Ealing,E09000009,89400,224600,39.8,3.9,22300,224600,9.9,2.4,34600,224600,15.4,2.9,25900,224600,11.5,2.5,31900,224600,14.2,2.8,20500,224600,9.1,2.3
Enfield,E09000010,71500,208100,34.3,4.1,19800,208100,9.5,2.5,39100,208100,18.8,3.3,34600,208100,16.6,3.2,33700,208100,16.2,3.2,9400,208100,4.5,1.8
Greenwich,E09000011,64500,183400,35.2,4.3,13300,183400,7.2,2.3,31800,183400,17.3,3.4,28900,183400,15.8,3.3,25500,183400,13.9,3.1,19500,183400,10.7,2.8
Harrow,E09000015,63800,156600,40.7,4.1,11300,156600,7.2,2.1,31400,156600,20.1,3.3,19700,156600,12.6,2.8,23700,156600,15.1,3,6700,156600,4.3,1.7
Havering,E09000016,30400,151200,20.1,3.6,9900,151200,6.5,2.2,34100,151200,22.6,3.7,43500,151200,28.7,4,17000,151200,11.3,2.8,16300,151200,10.8,2.8
Hillingdon,E09000017,60800,193400,31.4,3.9,17700,193400,9.2,2.4,39800,193400,20.6,3.4,36500,193400,18.9,3.3,21500,193400,11.1,2.6,17200,193400,8.9,2.4
Hounslow,E09000018,66800,177100,37.7,4.2,13500,177100,7.6,2.3,31400,177100,17.7,3.3,26900,177100,15.2,3.1,26700,177100,15.1,3.1,11900,177100,6.7,2.2
Kingston upon Thames,E09000021,49200,113200,43.5,4.5,12100,113200,10.7,2.8,21800,113200,19.2,3.6,12600,113200,11.1,2.8,10700,113200,9.5,2.6,6700,113200,6,2.1
Merton,E09000024,67100,135900,49.4,4.4,12000,135900,8.8,2.5,24500,135900,18.1,3.4,14300,135900,10.5,2.7,11600,135900,8.5,2.5,6500,135900,4.8,1.9
Redbridge,E09000026,74900,191500,39.1,3.9,10700,191500,5.6,1.8,38500,191500,20.1,3.2,27600,191500,14.4,2.8,20100,191500,10.5,2.4,19700,191500,10.3,2.4
Richmond upon Thames,E09000027,76200,122200,62.3,4.3,9700,122200,7.9,2.4,17600,122200,14.4,3.1,10400,122200,8.5,2.5,4400,122200,3.6,1.7,3900,122200,3.2,1.6
Sutton,E09000029,42700,127500,33.5,4.7,12100,127500,9.5,2.9,27000,127500,21.2,4.1,29800,127500,23.4,4.2,10200,127500,8,2.7,5700,127500,4.5,2.1
Waltham Forest,E09000031,66300,182400,36.3,4.9,11800,182400,6.4,2.5,30600,182400,16.8,3.8,31200,182400,17.1,3.8,21200,182400,11.6,3.3,21400,182400,11.7,3.3
Bracknell Forest,E06000036,22000,75100,29.3,2.6,6900,75100,9.2,1.7,18300,75100,24.3,2.5,18200,75100,24.2,2.5,6500,75100,8.7,1.6,3100,75100,4.2,1.2
Brighton and Hove,E06000043,80600,199600,40.4,3,16400,199600,8.2,1.7,44300,199600,22.2,2.5,32800,199600,16.4,2.2,14200,199600,7.1,1.6,11200,199600,5.6,1.4
Isle of Wight,E06000046,14400,75600,19.1,2.3,7300,75600,9.6,1.7,21400,75600,28.4,2.7,19700,75600,26.1,2.6,7500,75600,10,1.8,5200,75600,6.8,1.5
Medway,E06000035,31000,173100,17.9,2.3,14300,173100,8.3,1.7,41600,173100,24,2.6,52000,173100,30.1,2.8,19700,173100,11.4,1.9,14400,173100,8.3,1.7
Milton Keynes,E06000042,43200,164300,26.3,2.8,15300,164300,9.3,1.8,31600,164300,19.2,2.5,41900,164300,25.5,2.8,17400,164300,10.6,2,15000,164300,9.1,1.8
Portsmouth,E06000044,30300,138900,21.8,2.7,11700,138900,8.5,1.8,39000,138900,28.1,2.9,31000,138900,22.3,2.7,13800,138900,10,1.9,13000,138900,9.4,1.9
Reading,E06000038,41700,107700,38.7,3,7300,107700,6.7,1.6,23800,107700,22,2.6,17300,107700,16.1,2.3,11000,107700,10.2,1.9,6800,107700,6.3,1.5
Slough,E06000039,26000,94600,27.5,2.7,9500,94600,10,1.8,19600,94600,20.7,2.4,16400,94600,17.4,2.3,15400,94600,16.3,2.2,7700,94600,8.1,1.6
Southampton,E06000045,44100,169300,26,2.8,11000,169300,6.5,1.6,44000,169300,26,2.8,39700,169300,23.4,2.7,19700,169300,11.6,2.1,10900,169300,6.4,1.6
West Berkshire,E06000037,36300,94400,38.4,3.2,10900,94400,11.5,2.1,19800,94400,21,2.7,16800,94400,17.8,2.5,7000,94400,7.4,1.7,3700,94400,3.9,1.3
Windsor and Maidenhead,E06000040,37900,88500,42.8,3,7100,88500,8.1,1.7,19300,88500,21.8,2.5,15600,88500,17.6,2.3,5600,88500,6.3,1.5,3100,88500,3.4,1.1
Wokingham,E06000041,39300,97600,40.2,3.3,8800,97600,9,1.9,23800,97600,24.3,2.9,19400,97600,19.9,2.7,3300,97600,3.4,1.2,3100,97600,3.2,1.2
Aylesbury Vale,E07000004,43300,117000,37,4.9,7600,117000,6.5,2.5,25600,117000,21.9,4.2,24800,117000,21.2,4.2,7300,117000,6.2,2.5,8400,117000,7.1,2.6
Chiltern,E07000005,25300,53800,47.1,6.9,3100,53800,5.8,3.2,10300,53800,19.1,5.4,9600,53800,17.9,5.3,3700,53800,6.8,3.5,1800,53800,3.3,*
South Bucks,E07000006,18600,39800,46.8,7.8,2900,39800,7.3,4.1,10600,39800,26.7,6.9,5600,39800,14.1,5.4,!,39800,!,!,1500,39800,3.8,*
Wycombe,E07000007,42600,108500,39.2,4.9,10200,108500,9.4,2.9,24800,108500,22.8,4.2,17600,108500,16.2,3.7,7600,108500,7,2.5,5700,108500,5.3,2.2
Eastbourne,E07000061,14500,56100,25.9,6.7,7400,56100,13.1,5.2,13400,56100,23.8,6.5,9400,56100,16.8,5.7,6500,56100,11.5,4.9,5000,56100,8.8,4.3
Hastings,E07000062,11300,54900,20.5,6.7,2900,54900,5.2,*,13500,54900,24.7,7.1,15800,54900,28.8,7.5,6000,54900,11,5.2,5400,54900,9.8,4.9
Lewes,E07000063,13100,55900,23.4,6.4,4600,55900,8.3,4.1,17100,55900,30.7,6.9,12900,55900,23,6.3,4200,55900,7.6,4,3900,55900,7,3.8
Rother,E07000064,10200,49100,20.7,6.6,5200,49100,10.7,5,11100,49100,22.7,6.8,14300,49100,29.2,7.4,3700,49100,7.5,4.3,4500,49100,9.2,4.7
Wealden,E07000065,19900,87300,22.8,4.7,7100,87300,8.1,3.1,22300,87300,25.6,4.9,23000,87300,26.4,5,6300,87300,7.3,2.9,8600,87300,9.8,3.4
Basingstoke and Deane,E07000084,32400,107500,30.2,5.3,10500,107500,9.7,3.4,23100,107500,21.5,4.8,23100,107500,21.5,4.8,9000,107500,8.4,3.2,9400,107500,8.8,3.3
East Hampshire,E07000085,20600,70100,29.4,7.1,7300,70100,10.4,4.8,17700,70100,25.2,6.8,16300,70100,23.2,6.6,4800,70100,6.8,3.9,3500,70100,5,*
Eastleigh,E07000086,18100,78800,22.9,6.4,6600,78800,8.4,4.2,27200,78800,34.5,7.2,17000,78800,21.6,6.2,6000,78800,7.6,4,4000,78800,5,*
Fareham,E07000087,15400,69400,22.1,6.9,10700,69400,15.4,6,22300,69400,32.1,7.8,17600,69400,25.4,7.2,2100,69400,3,*,1400,69400,2,*
Gosport,E07000088,12000,51100,23.5,8.8,4000,51100,7.8,*,9700,51100,19,8.1,14200,51100,27.9,9.3,6400,51100,12.4,6.8,4800,51100,9.4,*
Hart,E07000089,22000,56100,39.2,8.4,7200,56100,12.9,5.7,12800,56100,22.8,7.2,9400,56100,16.7,6.4,2900,56100,5.1,*,1800,56100,3.3,*
Havant,E07000090,16000,71600,22.3,6.6,6700,71600,9.4,4.6,22200,71600,31.1,7.3,16400,71600,22.9,6.6,4100,71600,5.8,3.7,6100,71600,8.5,4.4
New Forest,E07000091,18400,98800,18.6,5,7600,98800,7.6,3.4,31000,98800,31.4,5.9,25600,98800,25.9,5.6,9200,98800,9.3,3.7,7000,98800,7.1,3.3
Rushmoor,E07000092,12100,60100,20.1,6.5,3300,60100,5.5,*,17800,60100,29.7,7.4,11100,60100,18.6,6.3,11100,60100,18.5,6.3,4500,60100,7.5,4.3
Test Valley,E07000093,25900,71600,36.2,7.6,5200,71600,7.3,4.1,15100,71600,21,6.4,18000,71600,25.1,6.8,5800,71600,8.1,4.3,1600,71600,2.3,*
Winchester,E07000094,34200,74400,46,8.3,5800,74400,7.8,4.5,12400,74400,16.7,6.2,13400,74400,18,6.4,5100,74400,6.8,4.2,3500,74400,4.7,*
Ashford,E07000105,16900,72600,23.3,6.3,6800,72600,9.4,4.3,13400,72600,18.4,5.8,17700,72600,24.4,6.4,10000,72600,13.7,5.1,7800,72600,10.8,4.6
