,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
Rochdale,E08000005,24600,130800,18.8,2.3,9100,130800,6.9,1.5,30700,130800,23.5,2.5,33700,130800,25.8,2.6,14100,130800,10.8,1.9,18500,130800,14.2,2.1
Salford,E08000006,39000,158600,24.6,2.8,10700,158600,6.7,1.6,38600,158600,24.3,2.8,35300,158600,22.3,2.7,20500,158600,12.9,2.2,14600,158600,9.2,1.9
Stockport,E08000007,50700,174200,29.1,2.7,12800,174200,7.4,1.5,48000,174200,27.5,2.6,40500,174200,23.3,2.5,13400,174200,7.7,1.6,8800,174200,5.1,1.3
Tameside,E08000008,23900,137100,17.4,2.2,10900,137100,8,1.6,35000,137100,25.5,2.6,36400,137100,26.5,2.6,13400,137100,9.8,1.7,17500,137100,12.8,2
Trafford,E08000009,58700,142400,41.2,3,11300,142400,8,1.6,31400,142400,22,2.5,24300,142400,17.1,2.3,9500,142400,6.7,1.5,7200,142400,5.1,1.3
Wigan,E08000010,37900,194300,19.5,2.6,18500,194300,9.5,1.9,48900,194300,25.2,2.8,51600,194300,26.5,2.9,20600,194300,10.6,2,16800,194300,8.6,1.8
Burnley,E07000117,8300,53400,15.5,6.5,3800,53400,7.2,4.6,11600,53400,21.7,7.4,11500,53400,21.5,7.4,11300,53400,21.2,7.3,7000,53400,13,6.1
Chorley,E07000118,18400,69300,26.5,7.2,8200,69300,11.9,5.3,17500,69300,25.2,7.1,17100,69300,24.7,7,4800,69300,7,4.2,3300,69300,4.7,*
Fylde,E07000119,14400,42700,33.7,8.5,2600,42700,6.1,*,11100,42700,26,7.9,9900,42700,23.3,7.6,2600,42700,6.2,*,2000,42700,4.7,*
Hyndburn,E07000120,8000,48000,16.7,7.4,8100,48000,16.9,7.4,6900,48000,14.4,7,15700,48000,32.8,9.3,3800,48000,7.9,*,5400,48000,11.3,6.3
Lancaster,E07000121,26500,88600,29.9,6.6,6600,88600,7.5,3.8,19100,88600,21.6,5.9,18300,88600,20.6,5.8,10200,88600,11.5,4.6,7900,88600,8.9,4.1
Pendle,E07000122,7900,51500,15.3,6.6,3500,51500,6.8,*,12900,51500,25,7.9,12100,51500,23.5,7.8,7900,51500,15.3,6.6,7300,51500,14.1,6.4
Preston,E07000123,19900,89000,22.4,5.8,3300,89000,3.7,*,22900,89000,25.8,6,18000,89000,20.3,5.6,11100,89000,12.5,4.6,13600,89000,15.3,5
Ribble Valley,E07000124,8400,34200,24.5,9.7,5500,34200,16,8.3,9500,34200,27.7,10.1,7500,34200,22,9.4,1500,34200,4.3,*,1900,34200,5.4,*
Rossendale,E07000125,15900,43400,36.5,9.1,2700,43400,6.2,*,9400,43400,21.7,7.8,8500,43400,19.5,7.5,4500,43400,10.4,5.8,2400,43400,5.6,*
South Ribble,E07000126,12900,66600,19.4,6.1,8200,66600,12.4,5.1,14500,66600,21.8,6.4,17300,66600,26,6.8,7300,66600,10.9,4.8,6400,66600,9.6,4.6
West Lancashire,E07000127,17000,68000,24.9,7.2,6100,68000,9,4.8,16100,68000,23.6,7.1,15700,68000,23,7,6300,68000,9.3,4.9,6900,68000,10.2,5.1
