
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 31 May 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Variable   :","Percentage of population who are white not UK born"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Jan 2005-Dec 2005","Conf","Numerator","Denominator","Jan 2006-Dec 2006","Conf","Numerator","Denominator","Jan 2007-Dec 2007","Conf","Numerator","Denominator","Jan 2008-Dec 2008","Conf","Numerator","Denominator","Jan 2009-Dec 2009","Conf","Numerator","Denominator","Jan 2010-Dec 2010","Conf","Numerator","Denominator","Jan 2011-Dec 2011","Conf","Numerator","Denominator","Jan 2012-Dec 2012","Conf","Numerator","Denominator","Jan 2013-Dec 2013","Conf","Numerator","Denominator","Jan 2014-Dec 2014","Conf","Numerator","Denominator","Jan 2015-Dec 2015","Conf"
"Rotherham","E08000018",2700,250500,1.1,0.7,3800,251500,1.5,0.9,2900,252200,1.2,0.8,4000,253200,1.6,0.9,4600,253800,1.8,1.0,5500,254600,2.2,1.0,5200,253400,2.1,1.0,3800,256200,1.5,0.9,4200,256700,1.6,0.9,5100,258000,2.0,1.1,2300,260000,0.9,0.7
"Sheffield","E08000019",11000,520500,2.1,1.0,21500,522300,4.1,1.4,21000,524700,4.0,1.5,18000,528900,3.4,1.4,14000,533400,2.6,1.2,12700,539000,2.4,1.1,15900,544300,2.9,1.3,16600,551100,3.0,1.3,11800,554400,2.1,1.1,12900,556100,2.3,1.2,14400,561900,2.6,1.3
"Bradford","E08000032",16900,485500,3.5,1.3,15000,490000,3.1,1.3,8500,492300,1.7,1.0,18000,501200,3.6,1.4,18300,507100,3.6,1.5,16900,512900,3.3,1.3,23100,518200,4.4,1.6,24900,518600,4.8,1.6,15600,520600,3.0,1.3,20400,519200,3.9,1.5,26500,525200,5.1,1.6
"Calderdale","E08000033",2900,194900,1.5,0.9,3900,196400,2.0,1.1,5700,197700,2.9,1.2,6100,199400,3.1,1.3,9000,200600,4.5,1.6,7000,201300,3.5,1.4,5600,201600,2.8,1.3,5700,203400,2.8,1.3,6700,204500,3.3,1.4,7400,205200,3.6,1.4,10400,205800,5.0,1.7
"Kirklees","E08000034",5900,395800,1.5,0.9,10200,400300,2.5,1.2,11000,404100,2.7,1.2,7500,407700,1.8,1.0,8200,411300,2.0,1.1,10800,414000,2.6,1.3,11400,418900,2.7,1.3,15500,420100,3.7,1.5,16200,424600,3.8,1.5,9800,426500,2.3,1.2,11800,429500,2.7,1.3
"Leeds","E08000035",30800,728300,4.2,1.2,41600,729200,5.7,1.4,32800,731900,4.5,1.3,31600,733100,4.3,1.3,28000,737500,3.8,1.2,28800,740900,3.9,1.2,27100,742700,3.6,1.3,26600,751300,3.5,1.2,35000,754200,4.6,1.5,33100,758700,4.4,1.4,34000,765600,4.4,1.4
"Wakefield","E08000036",4900,315400,1.6,0.9,7900,316400,2.5,1.2,7700,318800,2.4,1.1,7000,319500,2.2,1.1,9800,321000,3.0,1.3,12100,322200,3.8,1.4,17500,321100,5.5,1.7,13500,322800,4.2,1.5,18000,326100,5.5,1.7,15500,328000,4.7,1.6,12800,329800,3.9,1.4
"Derby","E06000015",10300,233300,4.4,1.5,9900,235300,4.2,1.4,10800,238000,4.6,1.5,10700,239100,4.5,1.5,8400,241400,3.5,1.3,12900,244700,5.3,1.7,11900,244400,4.9,1.5,10900,247200,4.4,1.5,14100,249200,5.7,1.7,12000,250100,4.8,1.6,16500,251600,6.6,2.0
"Leicester","E06000016",12100,297700,4.1,1.3,15600,301900,5.2,1.5,16500,307400,5.4,1.5,14700,311700,4.7,1.5,20200,316000,6.4,1.7,20500,320900,6.4,1.7,18000,323400,5.6,1.8,19200,328400,5.8,1.7,18500,330600,5.6,1.7,27300,332400,8.2,2.0,25900,340000,7.6,2.0
"Nottingham","E06000018",7900,280500,2.8,1.2,15100,281700,5.4,1.6,12300,285500,4.3,1.4,16500,286400,5.8,1.7,14300,289900,4.9,1.5,16900,296000,5.7,1.7,17400,298100,5.8,1.7,20300,302800,6.7,1.7,19600,305300,6.4,1.7,23300,309000,7.5,1.9,24200,313800,7.7,1.9
"Rutland","E06000017",1900,33700,5.5,2.9,1300,33800,3.7,2.4,1300,34400,3.8,2.6,1600,34600,4.8,2.8,1400,34500,4.0,2.6,1300,34500,3.7,2.4,1500,34100,4.4,2.8,900,34100,2.7,2.4,1500,34700,4.4,3.0,2000,35100,5.6,3.2,1900,35300,5.3,3.0
"Amber Valley","E07000032",1600,118200,1.3,"*",2300,118900,1.9,"*",3000,118200,2.5,2.4,3200,120000,2.7,2.5,1100,120400,0.9,"*",2100,120900,1.7,"*",3900,121400,3.2,"*","!",121600,"!","!",1700,122400,1.4,"*",3000,122800,2.5,"*","!",123000,"!","!"
"Bolsover","E07000033",1200,73200,1.7,1.3,800,73600,1.0,"*",900,74100,1.2,"*","!",74300,"!","!",3200,74600,4.3,"*",2100,75000,2.8,"*","!",75400,"!","!",1700,75900,2.2,"*",4500,76200,5.9,5.2,2800,76600,3.6,"*","#",77300,2.5,"*"
"Chesterfield","E07000034",1300,100600,1.3,1.2,1500,100600,1.5,"*",2400,100900,2.4,"*",1800,101500,1.8,"*",3000,101900,3.0,"*",4200,102300,4.1,"*",1100,102700,1.1,"*",2300,102700,2.2,"*",3300,103000,3.2,"*",6500,101700,6.4,5.0,4200,101900,4.2,4.1
"Derbyshire Dales","E07000035",900,67800,1.3,1.2,2100,68100,3.1,"*",3100,68400,4.6,4.2,2300,68900,3.3,"*",3200,69200,4.7,4.4,1600,69500,2.3,"*",2200,69600,3.2,"*",1900,69800,2.8,"*",1900,69800,2.8,"*","!",69900,"!","!",1200,69400,1.7,"*"
"Erewash","E07000036",2900,108900,2.6,1.8,3500,108900,3.2,2.7,800,109100,0.8,"*",3600,109700,3.3,2.9,2800,110200,2.6,"*",1900,110600,1.7,"*",3100,111100,2.8,"*",2200,111600,2.0,"*",3100,112100,2.8,"*",2800,112300,2.5,"*",1600,113500,1.4,"*"
"High Peak","E07000037",1800,88800,2.0,1.6,2800,89200,3.2,"*",3100,89700,3.5,3.1,1400,90000,1.6,"*",2400,90200,2.7,"*",5400,90300,6.0,4.2,4000,90200,4.5,4.0,2500,90300,2.7,"*",2400,90300,2.6,"*",2100,90600,2.3,"*",2500,90700,2.7,"*"
"North East Derbyshire","E07000038",1200,96400,1.3,1.3,2500,96900,2.6,"*",3300,97300,3.4,3.3,2200,97400,2.2,"*","!",97300,"!","!",2400,97700,2.5,"*",1300,98300,1.3,"*",1300,98500,1.3,"*",2100,98500,2.1,"*",2300,100100,2.3,"*","!",100300,"!","!"
"South Derbyshire","E07000039",1300,86700,1.5,1.5,"!",88100,"!","!","!",89400,"!","!","!",90700,"!","!",1700,91700,1.9,"*",1000,92700,1.1,"*",1800,93400,2.0,"*",1100,94400,1.2,"*","!",95600,"!","!",2000,96800,2.0,"*",2700,97800,2.8,"*"
"Blaby","E07000129",2300,91100,2.5,1.8,2400,91900,2.6,"*",2600,91700,2.8,"*",4900,92000,5.3,3.9,1900,92400,2.1,"*",1800,92900,1.9,"*","!",93100,"!","!",2100,93600,2.2,"*",4200,94100,4.5,4.0,2500,94300,2.6,"*",3200,94900,3.4,"*"
"Charnwood","E07000130",3300,154000,2.1,1.6,3100,155500,2.0,1.8,3200,156700,2.0,1.9,6800,158700,4.3,2.8,4700,160400,2.9,2.3,5700,162300,3.5,2.5,4500,163800,2.7,2.4,9600,166300,5.7,3.6,8700,167900,5.2,3.2,5900,170400,3.4,2.7,12000,173000,6.9,3.9
"Harborough","E07000131",2200,79400,2.8,1.8,3600,80300,4.5,4.0,2700,81300,3.3,"*",1400,82100,1.7,"*",2200,82800,2.6,"*",3100,83500,3.7,3.5,3100,84300,3.7,"*",1600,85000,1.9,"*",2000,86000,2.4,"*",4300,86500,4.9,4.2,2100,87700,2.3,"*"
"Hinckley and Bosworth","E07000132",2100,101500,2.1,1.5,1900,102300,1.8,"*",2300,102700,2.2,"*",3200,103000,3.1,"*",2600,103700,2.5,"*",2400,104000,2.3,"*",1800,104500,1.7,"*",2200,105100,2.1,"*",2300,105700,2.2,"*","!",106700,"!","!","!",107700,"!","!"
"Melton","E07000133",1900,47600,3.9,2.2,"!",48300,"!","!",2500,48700,5.2,"*",2600,48900,5.3,"*",1400,49000,2.9,"*",2200,49600,4.4,"*",4500,50100,8.9,6.8,4300,50300,8.6,7.1,"#",50400,3.4,"*",1500,50500,3.0,"*",2000,50500,4.0,"*"
"North West Leicestershire","E07000134",1600,88900,1.8,1.5,1800,89700,2.1,"*",1700,90700,1.8,"*",1100,91500,1.2,"*",800,92000,0.9,"*",2600,92400,2.8,"*",1700,92900,1.8,"*",1600,93200,1.7,"*",2800,93900,3.0,"*",5900,94900,6.3,4.7,4000,96300,4.1,3.8
"Oadby and Wigston","E07000135",1300,55300,2.4,1.6,"!",55700,"!","!","!",55900,"!","!",1300,55600,2.3,"*",1000,55000,1.9,"*",1400,54600,2.6,"*","!",55400,"!","!",1300,55200,2.3,"*",1900,55700,3.4,"*","#",55400,2.8,"*",2800,54600,5.1,"*"
"Boston","E07000136",2500,57500,4.3,1.9,3400,58900,5.7,4.9,"#",60200,2.1,"*",8300,61300,13.5,7.2,8000,62500,12.8,7.1,5600,63600,8.9,6.6,7800,63700,12.2,7.7,6100,64000,9.6,7.6,12100,64900,18.7,9.6,9700,65500,14.8,9.1,16200,65900,24.5,11.2
"East Lindsey","E07000137",2300,132400,1.7,1.3,3800,132800,2.9,2.6,3100,133900,2.3,2.2,3700,134400,2.8,2.5,5800,134100,4.3,3.0,6400,134200,4.8,3.4,1900,133700,1.4,"*",1200,133600,0.9,"*",4600,133800,3.4,2.9,5700,134600,4.2,3.0,5000,134000,3.7,3.1
"Lincoln","E07000138",3400,87700,3.9,1.9,6100,88100,6.9,4.4,6900,88200,7.8,5.0,7400,88500,8.3,5.2,7400,89100,8.3,5.1,4100,91100,4.5,4.0,4500,90800,4.9,4.0,4300,92800,4.6,4.1,1600,93600,1.7,"*",6500,94200,6.9,5.1,11000,94900,11.6,7.0
"North Kesteven","E07000139",3100,98000,3.1,1.7,2900,100100,2.9,2.8,2900,102000,2.9,2.5,3000,103600,2.9,2.7,2800,104600,2.7,2.6,6800,105600,6.5,4.2,4500,106700,4.2,3.6,4400,107500,4.1,3.2,2700,108100,2.5,"*",8200,109300,7.5,4.6,4500,111300,4.0,"*"
"South Holland","E07000140",1600,80900,2.0,1.4,5300,82200,6.4,4.9,5800,83600,6.9,4.9,6600,85100,7.7,4.9,6400,86100,7.4,5.0,3900,87000,4.5,4.1,4500,87500,5.1,4.4,5500,87700,6.3,4.9,11300,88300,12.8,6.8,11200,89500,12.5,6.7,9200,90300,10.2,6.1
"South Kesteven","E07000141",4100,126400,3.2,2.0,9000,127700,7.1,3.9,8600,128900,6.6,3.7,10000,129900,7.7,4.1,8400,130900,6.4,3.9,8400,131900,6.4,3.7,9100,132200,6.9,3.9,7900,133900,5.9,3.8,7000,135300,5.2,3.5,7900,137000,5.7,3.7,7600,136500,5.5,3.8
"West Lindsey","E07000142",1700,83100,2.0,1.4,3700,84600,4.3,3.8,1800,85900,2.1,"*",1500,87000,1.7,"*",1500,87400,1.7,"*",2800,87400,3.2,"*",5100,88700,5.7,4.3,4400,88500,4.9,4.2,1200,89200,1.3,"*",1200,90500,1.3,"*",1500,91600,1.6,"*"
"Corby","E07000150",3200,54000,5.9,2.3,3900,55100,7.0,6.1,6800,56500,12.1,7.7,4800,57600,8.4,6.5,4900,58300,8.4,7.0,8200,58500,13.9,8.3,10000,61300,16.3,8.9,8300,62800,13.3,8.6,5800,63900,9.0,7.0,8900,65200,13.6,7.4,14100,66600,21.2,9.8
"Daventry","E07000151",2200,74200,3.0,1.6,2100,74900,2.7,"*",1300,75200,1.7,"*",2400,75300,3.2,"*",3600,75900,4.8,4.2,5200,75800,6.9,4.9,6000,75800,7.9,5.6,3700,76300,4.8,"*",2800,76500,3.6,"*",1500,76900,2.0,"*",4700,77400,6.1,5.4
"East Northamptonshire","E07000152",2600,80100,3.3,1.7,3000,81500,3.7,3.4,3100,82900,3.8,3.2,4300,83700,5.2,4.1,3100,83700,3.7,3.4,3600,83100,4.4,4.0,2000,85000,2.3,"*",3000,85500,3.5,"*",3100,86200,3.6,"*",3200,87600,3.6,"*",7000,88200,7.9,5.4
