
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 31 May 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Variable   :","Percentage of population who are white not UK born"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Jan 2005-Dec 2005","Conf","Numerator","Denominator","Jan 2006-Dec 2006","Conf","Numerator","Denominator","Jan 2007-Dec 2007","Conf","Numerator","Denominator","Jan 2008-Dec 2008","Conf","Numerator","Denominator","Jan 2009-Dec 2009","Conf","Numerator","Denominator","Jan 2010-Dec 2010","Conf","Numerator","Denominator","Jan 2011-Dec 2011","Conf","Numerator","Denominator","Jan 2012-Dec 2012","Conf","Numerator","Denominator","Jan 2013-Dec 2013","Conf","Numerator","Denominator","Jan 2014-Dec 2014","Conf","Numerator","Denominator","Jan 2015-Dec 2015","Conf"
"East Staffordshire","E07000193",2200,105900,2.1,1.5,2900,106900,2.7,"*",2100,108100,2.0,"*",2900,109400,2.6,"*",3000,110200,2.7,2.6,4800,111000,4.3,3.5,5000,111800,4.5,3.5,5900,112400,5.3,4.1,5500,112800,4.8,4.1,4900,113600,4.3,"*",6300,113600,5.6,4.5
"Lichfield","E07000194",1400,94300,1.5,1.3,1600,95800,1.7,"*",1500,96900,1.5,"*",1500,97800,1.5,"*",1300,98200,1.4,"*",1600,98700,1.6,"*",1200,99100,1.2,"*",1900,99400,1.9,"*",4100,99900,4.1,3.6,"#",100200,1.7,"*",2300,101900,2.3,"*"
"Newcastle-under-Lyme","E07000195",1400,120300,1.2,1.1,1000,120800,0.8,"*",2600,121400,2.2,"*",2100,121400,1.7,"*",2500,121500,2.0,"*",3000,122000,2.5,"*","#",122800,1.1,"*",4800,123000,3.9,3.7,5400,124100,4.4,3.8,2100,124100,1.7,"*",1600,125700,1.3,"*"
"South Staffordshire","E07000196",2000,104400,1.9,1.5,"#",104800,1.0,"*","!",105000,"!","!","!",105600,"!","!","!",105600,"!","!",1200,106100,1.1,"*","!",105800,"!","!","!",106400,"!","!",1200,108300,1.1,"*","!",108100,"!","!",2400,108600,2.2,"*"
"Stafford","E07000197",4100,121600,3.4,2.0,2400,123200,1.9,"*",2600,124600,2.1,"*",3400,125800,2.7,2.6,4400,126400,3.4,2.9,3400,127300,2.7,2.5,3800,127600,3.0,2.8,6400,128800,4.9,3.7,5200,129200,4.0,3.5,3500,129200,2.7,"*",1600,129700,1.2,"*"
"Staffordshire Moorlands","E07000198",2000,93800,2.2,1.5,"!",94600,"!","!","!",95000,"!","!","!",95400,"!","!","!",95600,"!","!",1800,95700,1.8,"*",2000,96000,2.0,"*","!",96000,"!","!","#",96200,2.0,"*",3400,96000,3.6,"*",1500,96700,1.5,"*"
"Tamworth","E07000199",1100,74300,1.4,1.2,"!",74700,"!","!","!",75000,"!","!",1100,75500,1.5,"*",1300,75900,1.7,"*","#",76200,1.7,"*",1500,76500,2.0,"*",1300,76700,1.8,"*","!",76700,"!","!",1500,76600,1.9,"*",1400,76700,1.8,"*"
"North Warwickshire","E07000218",1300,60900,2.1,1.4,700,61900,1.2,"*","!",61300,"!","!",1700,61500,2.7,"*",2000,61600,3.2,"*",2400,61500,3.9,"*",2300,61500,3.8,"*",3000,61600,4.9,"*","#",61500,2.2,"*","!",61900,"!","!","#",62200,3.2,"*"
"Nuneaton and Bedworth","E07000219",2700,120200,2.3,1.4,2000,120600,1.6,"*",1400,121800,1.2,"*",2500,123100,2.1,"*",4000,123500,3.2,2.9,2500,123900,2.1,"*",5200,124600,4.2,3.5,1300,125000,1.1,"*",2500,125200,2.0,"*",1900,125400,1.5,"*",3900,125700,3.1,"*"
"Rugby","E07000220",3000,89900,3.3,1.7,4000,91600,4.3,3.5,4400,92600,4.7,3.6,2300,94800,2.4,"*",3600,95900,3.8,3.6,4300,97200,4.5,3.8,5600,98600,5.7,4.5,6900,99100,7.0,5.0,6300,99900,6.3,5.0,8200,101200,8.1,4.9,8800,102500,8.6,5.1
"Stratford-on-Avon","E07000221",3000,113600,2.6,1.6,3400,115300,3.0,2.4,5300,117000,4.5,3.0,5100,118200,4.3,2.9,5000,118300,4.2,3.1,5800,118500,4.9,3.2,4600,119200,3.9,3.0,4600,119100,3.9,3.2,3300,119500,2.8,2.6,8100,120000,6.8,3.9,7900,120700,6.5,4.0
"Warwick","E07000222",7400,132400,5.6,2.2,5700,134200,4.3,2.6,6000,135300,4.4,2.9,7000,136000,5.2,3.2,7200,136800,5.3,3.3,6100,136700,4.5,3.2,6700,136400,4.9,3.3,9300,136700,6.8,3.9,5500,136200,4.0,3.0,6600,137400,4.8,3.2,10100,137500,7.3,4.3
"Birmingham","E08000025",29700,1002500,3.0,0.9,38000,1008400,3.8,1.1,32700,1018300,3.2,1.0,38500,1028100,3.7,1.1,34500,1036900,3.3,1.1,47700,1048900,4.5,1.2,41500,1062300,3.9,1.2,43600,1072400,4.1,1.2,51600,1079000,4.8,1.4,53700,1088700,4.9,1.4,65000,1099100,5.9,1.6
"Coventry","E08000026",15900,295200,5.4,1.5,13900,297200,4.7,1.5,20300,298900,6.8,1.9,23800,302400,7.9,1.9,16300,304200,5.4,1.6,16300,308000,5.3,1.6,19800,312800,6.3,1.8,23200,319400,7.3,1.9,26700,325800,8.2,2.2,26700,332200,8.0,2.2,35400,340600,10.4,2.3
"Dudley","E08000027",3100,304900,1.0,0.7,4200,305300,1.4,0.9,3000,306200,1.0,0.7,3400,307800,1.1,0.7,5400,308500,1.8,1.0,4200,309700,1.3,0.9,3800,308600,1.2,0.9,5200,310500,1.7,1.0,4700,311700,1.5,0.9,5100,312900,1.6,1.0,5600,313500,1.8,1.0
"Sandwell","E08000028",5700,287200,2.0,1.0,7800,289300,2.7,1.1,9900,291600,3.4,1.3,9900,296000,3.3,1.3,14600,300200,4.9,1.4,10800,304000,3.6,1.2,12800,304700,4.2,1.4,11400,308100,3.7,1.3,11400,310700,3.7,1.4,15200,314100,4.8,1.6,11100,315500,3.5,1.4
"Solihull","E08000029",7700,200300,3.9,1.4,6800,200900,3.4,1.4,6500,201800,3.2,1.4,6400,203200,3.1,1.4,6000,204100,2.9,1.3,5700,204700,2.8,1.3,6400,204500,3.1,1.3,6500,205400,3.2,1.3,8200,207100,4.0,1.4,9200,208200,4.4,1.5,10400,208800,5.0,1.6
"Walsall","E08000030",2900,256100,1.1,0.8,2900,257700,1.1,0.8,3500,259200,1.4,0.9,2900,261400,1.1,0.8,4400,263000,1.7,1.0,4900,265100,1.9,1.0,4000,264400,1.5,0.9,4300,269200,1.6,1.0,7000,269900,2.6,1.2,9000,272000,3.3,1.4,8900,274000,3.2,1.3
"Wolverhampton","E08000031",5700,239100,2.4,1.1,5800,240000,2.4,1.1,7400,241600,3.1,1.3,10600,242500,4.4,1.5,9300,243300,3.8,1.4,6100,244800,2.5,1.1,9100,244400,3.7,1.3,9800,247900,4.0,1.4,15000,248900,6.0,1.6,14200,250400,5.7,1.6,14000,252100,5.6,1.7
"Bromsgrove","E07000234",2700,88000,3.0,1.8,2200,89400,2.5,"*",1200,89500,1.3,"*",1600,90500,1.8,"*",3000,90800,3.3,"*",2600,90700,2.9,"*",2300,90300,2.6,"*",4700,91400,5.1,4.2,1200,91900,1.3,"*",1800,91600,1.9,"*",2400,92900,2.6,"*"
"Malvern Hills","E07000235",1000,71800,1.4,1.2,1700,73200,2.4,"*",1400,70000,2.0,"*",3300,72300,4.6,3.9,1700,72200,2.3,"*","!",72500,"!","!",2000,72600,2.8,"*",1600,73000,2.2,"*",3300,73500,4.5,"*",2500,74100,3.3,"*",3200,74100,4.3,"*"
"Redditch","E07000236",1600,80000,1.9,1.4,2900,80600,3.6,3.2,3500,81300,4.3,3.6,3500,82200,4.2,3.9,5600,82600,6.8,4.9,4700,83100,5.7,4.8,4600,83400,5.6,4.7,4100,84000,4.8,4.1,4000,84000,4.7,3.9,5400,84000,6.4,4.8,6700,84300,7.9,5.3
"Worcester","E07000237",3600,93100,3.9,2.0,4000,92800,4.3,3.4,5800,94700,6.1,4.3,3200,95500,3.3,"*",8200,96200,8.5,5.4,8700,96400,9.1,5.8,3600,97800,3.7,"*",5900,98700,6.0,4.8,1100,99500,1.1,"*",4200,99800,4.2,"*",4400,98700,4.5,3.8
"Wychavon","E07000238",2200,113200,2.0,1.5,1800,114000,1.6,"*",6600,115400,5.7,3.9,9300,114800,8.1,4.4,5000,115100,4.4,3.4,5800,115400,5.0,3.5,9000,115700,7.8,4.7,5000,116400,4.3,3.4,2900,117500,2.4,"*",4900,118500,4.1,3.2,8000,121500,6.6,4.3
"Wyre Forest","E07000239",2400,96500,2.5,1.8,1400,96500,1.4,"*",2900,96900,3.0,"*",3700,97000,3.8,3.4,2200,96900,2.3,"*",5100,96900,5.3,4.4,4500,97000,4.7,4.0,1200,97000,1.2,"*",3100,97500,3.2,"*",2900,98000,2.9,"*",2100,98500,2.2,"*"
"Bedford","E06000055",6500,150400,4.3,2.2,8400,150300,5.6,3.2,11300,150900,7.5,3.5,10800,152000,7.1,3.4,8500,151900,5.6,2.9,9500,153000,6.2,3.0,8800,154500,5.7,3.0,13600,156800,8.7,4.0,14300,159000,9.0,3.9,10600,161500,6.6,3.3,14600,163100,8.9,3.9
"Central Bedfordshire","E06000056",7900,239400,3.3,1.6,10200,242300,4.2,2.1,13400,244300,5.5,2.3,9300,246600,3.8,1.9,11900,248200,4.8,2.1,11200,249300,4.5,2.0,16000,252000,6.3,2.4,13700,256500,5.3,2.4,11400,261900,4.4,2.1,13900,265900,5.2,2.5,14700,271200,5.4,2.3
"Luton","E06000032",13400,184300,7.3,2.0,10200,186100,5.5,1.7,14300,189000,7.6,2.0,11000,190600,5.8,1.7,11100,193900,5.7,1.9,14500,198400,7.3,2.1,19700,200200,9.9,2.4,18200,203700,8.9,2.1,23200,206000,11.2,2.3,24500,209000,11.7,2.3,23700,212300,11.2,2.2
"Peterborough","E06000031",10400,164900,6.3,1.8,12900,168200,7.7,2.0,17100,171800,9.9,2.2,18300,174100,10.5,2.2,17800,176800,10.1,2.2,18300,179000,10.2,2.3,22200,181000,12.3,2.6,19900,183800,10.8,2.6,23400,186500,12.5,2.6,21100,188400,11.2,2.5,25000,193100,12.9,2.6
"Southend-on-Sea","E06000033",5000,160200,3.1,1.3,5800,161600,3.6,1.4,7000,163700,4.3,1.5,7400,166000,4.5,1.6,6800,167800,4.0,1.5,7700,170000,4.5,1.6,7300,171500,4.3,1.5,7600,172800,4.4,1.6,9600,174100,5.5,1.8,9800,175900,5.6,1.9,11600,177200,6.6,2.2
"Thurrock","E06000034",4300,147900,2.9,1.3,4200,149500,2.8,1.3,5500,150800,3.7,1.4,5700,151900,3.8,1.4,4300,153600,2.8,1.3,5800,155200,3.7,1.5,5300,155800,3.4,1.5,6800,158800,4.3,1.7,6900,160100,4.3,1.7,7700,162300,4.8,1.7,11900,165300,7.2,2.1
"Cambridge","E07000008",12900,112000,11.5,3.4,20000,112100,17.9,6.8,22500,111200,20.3,7.6,20900,112700,18.5,7.3,21800,113700,19.2,7.0,17800,117400,15.2,6.5,21100,120300,17.6,7.2,20500,120200,17.1,6.8,20500,120600,17.0,6.9,21700,122700,17.7,6.6,19200,122700,15.6,6.6
"East Cambridgeshire","E07000009",4000,76500,5.3,2.4,5500,77400,7.1,5.0,5900,79200,7.4,5.4,10700,80300,13.3,6.9,8300,81600,10.1,6.1,6700,82500,8.1,5.6,8700,83500,10.5,6.2,5700,84500,6.7,5.0,5200,85200,6.1,4.4,6000,86200,7.0,5.3,6300,87000,7.2,4.9
"Fenland","E07000010",2600,87600,2.9,1.6,3400,89400,3.8,"*",2900,91400,3.2,3.1,2600,92300,2.8,"*",4800,93100,5.2,4.2,3400,93800,3.6,"*",7600,93800,8.1,5.7,8700,94600,9.2,5.6,9700,95300,10.2,6.1,4200,95700,4.4,4.3,9400,97400,9.7,6.0
"Huntingdonshire","E07000011",7200,160900,4.5,2.3,10600,161800,6.6,3.5,6400,161400,4.0,2.7,7400,164000,4.5,2.7,8300,164700,5.0,3.0,11100,166700,6.7,3.5,8500,167500,5.1,3.0,11200,166600,6.7,3.5,13500,167700,8.0,3.9,13700,171300,8.0,3.9,14100,172700,8.2,4.0
"South Cambridgeshire","E07000012",7600,135900,5.6,2.3,10000,137200,7.3,3.5,8400,139800,6.0,3.2,9700,141700,6.8,3.5,12200,144100,8.5,4.0,9500,146000,6.5,3.5,12100,148300,8.2,3.9,15600,148800,10.5,4.5,11000,149600,7.4,3.8,8100,149800,5.4,3.4,11800,153000,7.7,3.8
"Basildon","E07000066",4100,168100,2.5,1.7,6300,170300,3.7,2.5,5200,170000,3.0,2.5,4900,171500,2.9,2.3,7000,172000,4.0,2.7,6500,172700,3.8,2.7,4900,173800,2.8,2.5,6700,175400,3.8,3.1,4400,177300,2.5,"*",8500,179500,4.7,3.3,4100,180700,2.3,"*"
"Braintree","E07000067",4800,137000,3.5,1.9,6300,139500,4.5,3.1,6100,140900,4.3,3.0,6200,142400,4.3,2.9,5100,143000,3.5,2.8,6400,144400,4.4,3.3,3500,145900,2.4,2.4,7100,146700,4.9,3.4,10400,147500,7.0,4.0,3700,148400,2.5,"*",4600,148800,3.1,2.7
"Brentwood","E07000068",2700,69600,3.9,2.2,3900,70200,5.6,5.2,3500,70500,4.9,4.3,1100,71100,1.6,"*",2600,71800,3.6,"*",3600,72500,5.0,4.6,3200,73000,4.4,"*",2300,73300,3.1,"*",3600,73100,5.0,"*",4700,75100,6.3,5.9,3200,75000,4.2,"*"
"Castle Point","E07000069",1500,87000,1.7,1.4,"!",87000,"!","!",1700,86500,2.0,"*",3500,87100,4.0,"*",3400,87100,3.9,"*",4300,87500,4.9,4.3,2200,87300,2.5,"*","!",87600,"!","!","!",87900,"!","!","#",87600,1.6,"*","!",88500,"!","!"
"Chelmsford","E07000070",6900,162300,4.2,2.2,5400,161300,3.4,2.5,6300,162600,3.9,2.7,8600,163600,5.3,3.2,10600,164800,6.4,3.2,8900,166000,5.3,2.9,11500,166900,6.9,3.5,12700,167800,7.6,3.6,9200,168800,5.4,3.1,3700,170000,2.2,2.1,4600,171200,2.7,2.4
"Colchester","E07000071",7000,158700,4.4,2.3,6700,160500,4.2,2.7,9100,162600,5.6,3.2,7100,164800,4.3,2.9,6400,165900,3.9,2.7,11400,168100,6.8,3.8,13800,170400,8.1,4.1,17200,173000,10.0,4.6,16500,174400,9.5,4.4,12200,177600,6.9,4.0,9800,181500,5.4,3.4
"Epping Forest","E07000072",3700,120700,3.1,1.9,4600,119600,3.9,3.4,5100,121900,4.2,3.4,8200,120900,6.8,4.3,7000,122300,5.8,4.0,3800,123200,3.1,"*",2800,123800,2.2,"*",4100,124900,3.3,"*",5700,125900,4.5,3.8,7900,127300,6.2,4.3,7100,126300,5.6,4.3
"Harlow","E07000073",3200,77900,4.1,2.2,3500,78400,4.5,4.1,1500,78800,1.9,"*",1700,79500,2.2,"*",2300,79400,2.9,"*",2700,81100,3.3,"*",4500,81800,5.5,"*",4600,82400,5.5,"*",4700,83000,5.6,5.3,3200,84200,3.8,"*",3600,84900,4.3,"*"
"Maldon","E07000074",1300,59900,2.1,1.5,800,60500,1.2,"*",1800,60900,2.9,"*",2000,61200,3.3,"*",3000,61300,4.9,"*",3700,61300,6.1,5.4,1600,61200,2.7,"*",2000,61400,3.3,"*",2800,61700,4.5,"*",2100,62200,3.3,"*",3900,62200,6.2,"*"
"Rochford","E07000075",1200,80300,1.6,1.3,1900,81000,2.3,"*",3800,81100,4.7,4.1,3900,82500,4.7,4.4,1700,82600,2.0,"*",2300,82900,2.8,"*",1600,82800,2.0,"*",3300,83300,3.9,"*",2900,83400,3.4,"*",3000,84200,3.6,"*",2300,84600,2.8,"*"
"Tendring","E07000076",3900,137700,2.8,1.7,2600,138000,1.9,"*",7700,138100,5.6,3.5,3200,138000,2.3,"*",1900,137300,1.4,"*",2700,136800,2.0,"*",3800,135900,2.8,"*",1500,136200,1.1,"*",5400,136900,4.0,3.2,5400,136900,3.9,3.3,4800,139600,3.5,3.2
"Uttlesford","E07000077",2200,70500,3.1,2.0,1700,71900,2.3,"*",5000,73200,6.8,5.0,5800,74200,7.8,5.0,4600,75700,6.1,4.8,2900,77500,3.7,"*",3500,78900,4.5,4.5,3800,80000,4.7,4.4,3200,81500,3.9,"*",3500,82800,4.2,"*",3400,82900,4.2,"*"
"Broxbourne","E07000095",3500,88400,3.9,2.1,5300,89400,5.9,4.7,6400,90500,7.1,4.7,8900,91300,9.7,5.7,4400,92100,4.8,4.5,4900,92800,5.2,4.5,4800,93400,5.1,4.7,10100,94200,10.7,7.2,6200,94700,6.5,5.5,4800,95500,5.0,4.5,6700,95900,7.0,5.3
"Dacorum","E07000096",5200,136600,3.8,2.2,5800,137900,4.2,3.0,3300,137700,2.4,2.4,3900,138900,2.8,2.7,6500,140300,4.6,3.3,7600,141100,5.4,3.7,12200,143300,8.5,5.0,6700,144700,4.7,3.4,6700,145700,4.6,3.4,7300,147400,5.0,3.5,9600,148900,6.5,4.1
"East Hertfordshire","E07000242",7200,129700,5.5,2.5,5800,130600,4.4,3.1,7200,131800,5.5,3.5,4200,133100,3.1,2.7,6800,133300,5.1,3.4,7100,135100,5.3,3.5,14600,136200,10.7,4.9,6100,137200,4.5,3.4,9400,138700,6.8,4.3,8900,140800,6.3,4.1,6500,143100,4.5,3.4
"Hertsmere","E07000098",6300,92700,6.8,2.7,8600,93600,9.2,5.3,4100,94600,4.3,3.5,4400,96000,4.6,3.7,7100,96600,7.3,4.9,5400,96300,5.6,4.4,8200,98800,8.3,5.6,8300,99300,8.4,5.8,5100,99900,5.1,4.6,8900,100600,8.8,6.1,8800,101600,8.7,6.2
"North Hertfordshire","E07000099",4100,120000,3.4,2.0,3300,120600,2.8,2.4,3400,121700,2.8,2.6,6500,123800,5.2,3.5,8500,124000,6.8,3.9,6800,125000,5.5,3.6,5900,126200,4.7,3.4,9100,127000,7.1,4.3,4100,127900,3.2,2.7,5000,129200,3.9,3.1,5400,129900,4.2,3.5
"St Albans","E07000240",9100,130600,7.0,2.7,10700,131800,8.1,3.9,11200,132800,8.4,4.0,12200,134600,9.0,4.3,9500,136300,6.9,3.9,7600,137900,5.5,3.4,9200,139700,6.6,4.0,13800,140100,9.9,4.8,11800,140300,8.4,4.6,7300,143500,5.1,3.7,8500,144500,5.9,4.1
"Stevenage","E07000243",2800,79100,3.5,2.1,"!",79700,"!","!",1700,80100,2.1,"*",3600,79500,4.5,4.4,5400,81300,6.7,5.5,4200,82400,5.0,4.9,6600,83700,7.8,5.9,5700,84300,6.8,5.4,2700,84500,3.2,"*",4400,84900,5.2,4.2,5200,86000,6.1,5.0
"Three Rivers","E07000102",3900,83200,4.7,2.3,3900,81800,4.7,3.6,4200,84100,5.0,4.0,5400,85300,6.3,4.4,4100,86200,4.8,3.9,3900,86600,4.5,3.8,7000,86900,8.1,5.5,3400,87800,3.8,3.8,3600,88500,4.1,3.8,7200,89100,8.1,5.6,7900,90700,8.7,6.5
"Watford","E07000103",7100,81000,8.8,3.5,7300,81200,9.0,5.6,4800,82000,5.9,4.2,5700,83900,6.8,4.6,9900,85700,11.5,6.7,10100,87800,11.6,7.0,8300,88500,9.4,6.5,6300,91200,6.9,5.6,15100,93100,16.2,7.6,13900,94700,14.7,7.5,12100,94600,12.8,7.9
"Welwyn Hatfield","E07000241",3700,101200,3.7,2.2,5700,103000,5.6,4.1,9900,105100,9.4,5.0,9800,105800,9.2,5.2,8900,106900,8.3,4.8,8300,108500,7.6,5.0,7100,109700,6.4,4.7,8000,109300,7.3,5.4,5900,112300,5.2,4.5,15900,114200,13.9,6.5,13600,116600,11.7,5.7
"Breckland","E07000143",5400,123000,4.4,2.2,3300,124000,2.7,2.4,4500,125100,3.6,2.8,4800,126200,3.8,3.1,8900,126300,7.1,3.9,9400,127200,7.4,4.4,15700,128100,12.2,5.7,12600,128600,9.8,4.6,9000,130100,6.9,4.2,8700,131300,6.6,4.2,19900,132700,15.0,5.5
"Broadland","E07000144",3400,118800,2.8,1.8,3200,120100,2.7,2.3,4400,120800,3.6,3.0,3500,121600,2.9,2.7,4000,122100,3.3,2.8,2600,122800,2.1,"*",4600,122700,3.7,3.3,4900,123400,4.0,3.4,2800,123700,2.3,"*",4000,124100,3.2,"*",3200,124800,2.6,"*"
"Great Yarmouth","E07000145",2700,92800,2.9,1.6,2800,93400,3.0,"*",3800,94000,4.0,3.7,1800,94800,1.9,"*","!",95300,"!","!",1500,96000,1.5,"*",3900,96400,4.1,"*",6400,96500,6.7,4.8,7100,96700,7.4,5.1,4800,96600,5.0,4.4,7300,97500,7.4,5.7
"King's Lynn and West Norfolk","E07000146",6500,138900,4.7,2.0,6000,140600,4.3,2.9,5200,142100,3.7,2.7,6600,143000,4.6,3.1,7300,144200,5.1,3.4,5900,144900,4.1,3.1,7900,145800,5.4,3.5,7900,146300,5.4,3.6,10700,147000,7.3,4.3,9600,147900,6.5,4.0,9700,149000,6.5,3.9
"North Norfolk","E07000147",3200,96500,3.3,1.6,2600,97500,2.7,"*",4500,97900,4.6,3.6,4100,98700,4.1,3.3,4100,98100,4.2,3.6,3900,98300,3.9,3.6,3900,99200,3.9,"*",3400,99300,3.4,"*",2600,99600,2.7,"*",4900,100300,4.8,4.2,4100,100700,4.1,3.9
"Norwich","E07000148",6500,124300,5.2,2.3,9600,125200,7.7,4.4,10700,125400,8.5,4.6,9500,126500,7.5,4.4,7800,127700,6.1,4.1,11600,129500,9.0,4.6,10200,130100,7.9,4.4,9100,132400,6.9,4.2,7000,133700,5.2,3.7,14200,135100,10.5,5.3,14000,134600,10.4,4.9
"South Norfolk","E07000149",4200,114500,3.6,1.9,4000,115200,3.5,2.9,2300,115600,2.0,"*",2500,117200,2.1,"*",4400,118800,3.7,3.0,3800,120900,3.1,2.6,7300,122700,6.0,3.9,5500,124200,4.4,3.4,4000,125900,3.2,3.0,3600,127500,2.8,2.9,7700,131400,5.8,4.2
"Babergh","E07000200",3400,84800,4.0,2.0,2800,85400,3.3,"*",4400,85600,5.1,4.2,3600,85800,4.2,3.9,3000,85600,3.5,"*",2300,85700,2.7,"*",6000,86300,7.0,5.0,6700,86500,7.7,5.2,"#",87100,1.6,"*",3700,87100,4.3,4.2,5600,88200,6.4,5.0
"Forest Heath","E07000201",7900,56200,14.1,3.5,6600,54500,12.2,9.0,12100,55800,21.6,11.3,10000,55900,17.9,8.8,7600,56300,13.5,9.0,10500,57000,18.4,9.8,9200,58100,15.9,9.2,14200,58300,24.4,11.1,10500,58200,18.1,10.1,14500,60800,23.9,10.2,19200,62000,31.0,11.4
"Ipswich","E07000202",2800,122100,2.3,1.7,3700,123200,3.0,2.6,8900,123800,7.2,3.9,9900,125700,7.9,4.0,9300,127700,7.3,3.9,8500,129800,6.6,4.0,10200,132100,7.7,4.3,10200,133400,7.7,4.2,10300,133900,7.7,4.2,7000,134000,5.2,3.4,9200,136000,6.7,3.9
"Mid Suffolk","E07000203",3200,89400,3.6,1.9,3400,90700,3.8,3.3,3900,92400,4.2,3.7,4000,93200,4.2,3.9,3500,93800,3.7,3.5,4300,94800,4.5,3.5,2700,95600,2.8,"*",2700,96300,2.8,"*",2500,96900,2.6,"*",2900,98000,2.9,"*",3400,100500,3.4,"*"
"St Edmundsbury","E07000204",3800,100800,3.8,2.2,5200,103600,5.0,3.8,6000,103200,5.8,4.1,7100,104500,6.8,4.4,3800,105000,3.6,3.0,6000,107000,5.6,4.0,4000,108000,3.7,3.3,6500,108500,6.0,3.9,4400,108800,4.1,3.3,9100,109300,8.3,4.9,8200,109800,7.5,4.8
"Suffolk Coastal","E07000205",4200,117700,3.6,2.1,3700,119100,3.1,2.7,6300,120900,5.2,3.4,3800,121600,3.2,2.7,1400,121500,1.1,"*",3900,121800,3.2,2.8,5100,122100,4.2,3.4,5300,122100,4.4,3.5,3300,121400,2.7,"*",3000,122700,2.5,2.5,8200,122100,6.7,4.0
"Waveney","E07000206",1100,114300,1.0,1.0,4000,114300,3.5,2.8,2700,114500,2.3,"*",2500,114600,2.2,"*",1600,114300,1.4,"*",1400,113600,1.3,"*",3400,113600,3.0,2.8,2400,114000,2.1,"*",5600,114500,4.9,3.5,4600,114500,4.0,3.4,3500,114600,3.0,"*"
"Camden","E09000007",33900,204300,16.6,4.3,39800,205700,19.3,4.0,41300,208000,19.9,3.7,45800,205200,22.3,3.9,48000,209300,22.9,4.2,47600,212000,22.4,4.6,40500,213100,19.0,4.4,42200,220700,19.1,4.2,49600,227700,21.8,4.3,51000,232300,21.9,4.2,49600,239400,20.7,4.5
"City of London","E09000001",2400,11900,20.0,"*","!",6600,"!","!","!",4500,"!","!","!",7900,"!","!","!",5500,"!","!","#",6200,38.4,"*","!",3100,"!","!","!",3300,"!","!","!",3500,"!","!","!",3500,"!","!","!",7800,"!","!"
"Hackney","E09000012",30200,215000,14.0,3.6,31800,218100,14.6,3.3,25700,223700,11.5,3.1,27400,229700,11.9,3.1,30300,235200,12.9,3.2,31300,239900,13.0,3.4,33500,244600,13.7,3.4,37900,249700,15.2,3.5,37500,253800,14.8,3.6,39800,261500,15.2,3.6,41700,267800,15.6,3.7
"Hammersmith and Fulham","E09000013",35800,171200,20.9,4.0,33200,172500,19.3,3.9,35500,174700,20.3,4.3,35300,174900,20.2,4.2,37700,176600,21.3,4.5,36100,178200,20.2,4.3,41700,176400,23.6,4.1,40800,180600,22.6,4.2,44900,179700,25.0,4.3,40800,179700,22.7,4.3,44600,179100,24.9,4.8
"Haringey","E09000014",34400,227900,15.1,3.4,33200,231200,14.3,3.5,29800,235700,12.6,3.5,37700,242800,15.5,3.7,42000,247000,17.0,3.8,41800,248700,16.8,3.8,51700,251700,20.5,4.3,52000,253100,20.6,4.3,49500,256800,19.3,3.9,56500,261600,21.6,4.2,58100,265000,21.9,4.2
"Islington","E09000019",29700,181100,16.4,3.8,28900,182400,15.8,3.8,26300,186300,14.1,3.6,27000,190100,14.2,3.5,29600,194600,15.2,3.8,27300,198300,13.8,3.5,30800,202000,15.3,3.7,35000,209000,16.7,4.2,35200,212700,16.6,4.1,45300,218000,20.8,4.6,41500,225300,18.4,4.4
"Kensington and Chelsea","E09000020",44800,164900,27.1,4.5,45300,162900,27.8,4.9,43800,159200,27.5,4.9,48100,159900,30.1,5.0,43400,160000,27.1,4.8,43100,157400,27.4,4.6,47400,154900,30.6,4.5,48000,154000,31.2,4.4,51700,153700,33.6,4.5,51400,155200,33.1,4.3,47600,155300,30.6,4.5
"Lambeth","E09000022",44700,274100,16.3,3.9,41200,276700,14.9,3.7,37600,282300,13.3,3.3,38400,285400,13.4,3.4,44400,291300,15.3,3.7,46300,294300,15.7,4.1,51800,300600,17.2,4.1,61800,306100,20.2,4.8,66700,310100,21.5,4.9,57100,313200,18.2,4.6,51400,315000,16.3,4.6
"Lewisham","E09000023",27600,250600,11.0,3.1,26500,253600,10.5,3.2,28200,258900,10.9,3.2,29000,264400,11.0,3.1,26500,268200,9.9,3.2,28900,270300,10.7,3.6,28500,273600,10.4,3.4,34300,277700,12.4,3.6,36300,281900,12.9,3.5,36400,287800,12.6,3.4,39600,292800,13.5,3.8
"Newham","E09000025",22800,252800,9.0,2.8,21300,257400,8.3,2.6,22600,265000,8.5,2.8,27600,275300,10.0,2.9,36400,285200,12.8,3.2,29600,295800,10.0,2.9,24500,307500,8.0,2.5,30600,314200,9.7,2.9,28100,319700,8.8,2.7,45200,326800,13.8,3.4,54600,334600,16.3,3.6
