,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2015-Jun 2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% who gave national identity as British,Conf,Numerator,Denominator,% who gave national identity as English,Conf,Numerator,Denominator,% who gave national identity as Irish,Conf,Numerator,Denominator,% who gave national identity as Other,Conf,Numerator,Denominator,% who gave national identity as Scottish,Conf,Numerator,Denominator,% who gave national identity as Welsh,Conf
North Dorset,E07000050,22700,67800,33.5,5.9,45200,67800,66.7,5.9,!,67800,!,!,5800,67800,8.6,3.5,1000,67800,1.5,*,1900,67800,2.8,*
Purbeck,E07000051,17500,45400,38.5,7.7,32200,45400,70.8,7.2,!,45400,!,!,900,45400,1.9,*,#,45400,1.7,*,1300,45400,2.9,*
West Dorset,E07000052,42300,98300,43.1,5.1,66100,98300,67.3,4.8,!,98300,!,!,6000,98300,6.1,2.5,800,98300,0.8,*,900,98300,1,*
Weymouth and Portland,E07000053,31500,63500,49.7,7.5,37800,63500,59.6,7.3,!,63500,!,!,3700,63500,5.9,3.5,1200,63500,1.8,*,!,63500,!,!
Cheltenham,E07000078,65600,113100,58,5.5,61400,113100,54.3,5.5,!,113100,!,!,10200,113100,9,3.2,!,113100,!,!,1500,113100,1.3,*
Cotswold,E07000079,51200,84100,60.9,6.6,41900,84100,49.8,6.8,!,84100,!,!,5000,84100,6,3.2,!,84100,!,!,1900,84100,2.3,*
Forest of Dean,E07000080,46100,82400,56,6.3,47600,82400,57.8,6.3,!,82400,!,!,2600,82400,3.1,*,1600,82400,1.9,*,3600,82400,4.4,2.6
Gloucester,E07000081,66000,126100,52.4,5.5,63900,126100,50.7,5.5,!,126100,!,!,13100,126100,10.4,3.3,!,126100,!,!,#,126100,1.2,*
Stroud,E07000082,64000,115300,55.6,5.7,63200,115300,54.8,5.7,!,115300,!,!,1600,115300,1.4,*,!,115300,!,!,3800,115300,3.3,2
Tewkesbury,E07000083,49000,87900,55.7,6,51100,87900,58.1,6,!,87900,!,!,4700,87900,5.3,2.7,2000,87900,2.2,*,1900,87900,2.2,*
Mendip,E07000187,66700,108800,61.3,5.5,70500,108800,64.8,5.4,!,108800,!,!,7000,108800,6.4,2.8,!,108800,!,!,1000,108800,0.9,*
Sedgemoor,E07000188,66000,119200,55.4,5.4,81800,119200,68.6,5.1,!,119200,!,!,5400,119200,4.6,2.3,#,119200,1,*,1700,119200,1.5,*
South Somerset,E07000189,93700,162300,57.7,4.7,105000,162300,64.7,4.6,!,162300,!,!,3400,162300,2.1,*,2300,162300,1.4,*,3100,162300,1.9,*
Taunton Deane,E07000190,65300,110900,58.9,6.1,67400,110900,60.8,6.1,!,110900,!,!,5700,110900,5.2,2.7,!,110900,!,!,1800,110900,1.6,*
West Somerset,E07000191,16300,33000,49.3,9.5,18200,33000,55.2,9.5,!,33000,!,!,!,33000,!,!,#,33000,2.9,*,!,33000,!,!
Isle of Anglesey,W06000001,22900,69300,33,2.2,7900,69300,11.3,1.5,!,69300,!,!,1900,69300,2.7,0.8,~,69300,0.4,*,43900,69300,63.3,2.3
Gwynedd,W06000002,35600,121400,29.3,2.3,11600,121400,9.6,1.5,!,121400,!,!,5300,121400,4.4,1,700,121400,0.6,*,77400,121400,63.8,2.4
Conwy,W06000003,47000,113600,41.4,2.3,19200,113600,16.9,1.7,!,113600,!,!,3700,113600,3.3,0.8,900,113600,0.8,0.4,51500,113600,45.3,2.3
Denbighshire,W06000004,38500,93500,41.2,2.3,15100,93500,16.1,1.7,!,93500,!,!,2000,93500,2.1,0.7,600,93500,0.7,0.4,45400,93500,48.6,2.4
Flintshire,W06000005,71200,153700,46.3,2.5,30000,153700,19.5,2,!,153700,!,!,6400,153700,4.1,1,800,153700,0.5,0.4,56500,153700,36.8,2.4
Wrexham,W06000006,59100,135700,43.6,2.5,13600,135700,10,1.5,!,135700,!,!,7400,135700,5.5,1.2,700,135700,0.5,*,73500,135700,54.2,2.6
Powys,W06000023,62600,130600,48,2.6,16800,130600,12.9,1.7,!,130600,!,!,3700,130600,2.8,0.9,700,130600,0.6,*,58800,130600,45,2.6
Ceredigion,W06000008,28400,73800,38.5,2.4,9900,73800,13.4,1.7,!,73800,!,!,3800,73800,5.2,1.1,1000,73800,1.3,0.6,36400,73800,49.4,2.5
Pembrokeshire,W06000009,43300,124200,34.9,2.3,14300,124200,11.5,1.5,!,124200,!,!,4100,124200,3.3,0.9,700,124200,0.6,0.4,73700,124200,59.3,2.4
Carmarthenshire,W06000010,45900,181300,25.3,2.1,19000,181300,10.5,1.5,!,181300,!,!,11000,181300,6.1,1.2,1100,181300,0.6,0.4,122000,181300,67.3,2.3
Swansea,W06000011,73400,240300,30.5,2.2,15100,240300,6.3,1.2,!,240300,!,!,16600,240300,6.9,1.2,1000,240300,0.4,*,166300,240300,69.2,2.2
Neath Port Talbot,W06000012,36100,139700,25.8,2.3,7200,139700,5.2,1.1,!,139700,!,!,1800,139700,1.3,0.6,700,139700,0.5,*,111700,139700,80,2.1
Bridgend,W06000013,34600,139700,24.7,2.3,6000,139700,4.3,1.1,!,139700,!,!,3300,139700,2.4,0.8,700,139700,0.5,*,109400,139700,78.3,2.2
Vale of Glamorgan,W06000014,48000,125700,38.2,2.6,8900,125700,7.1,1.4,!,125700,!,!,4600,125700,3.7,1,700,125700,0.5,*,81800,125700,65.1,2.6
Cardiff,W06000015,150500,354900,42.4,2.5,24700,354900,7,1.3,!,354900,!,!,27600,354900,7.8,1.3,2200,354900,0.6,*,193300,354900,54.5,2.5
Rhondda Cynon Taff,W06000016,81700,235700,34.6,2.4,10300,235700,4.4,1,!,235700,!,!,4600,235700,1.9,0.7,1400,235700,0.6,0.4,193900,235700,82.2,1.9
Merthyr Tydfil,W06000024,18600,58800,31.7,2.8,1900,58800,3.3,1.1,!,58800,!,!,1800,58800,3.1,1,!,58800,!,!,46300,58800,78.8,2.4
Caerphilly,W06000018,58100,179200,32.4,2.3,8400,179200,4.7,1,!,179200,!,!,3500,179200,1.9,0.7,700,179200,0.4,*,141900,179200,79.2,2
Blaenau Gwent,W06000019,18300,69000,26.5,2.4,4200,69000,6.1,1.3,!,69000,!,!,1200,69000,1.8,0.7,~,69000,0.5,*,54700,69000,79.3,2.2
Torfaen,W06000020,28400,91000,31.2,2.4,6600,91000,7.3,1.3,!,91000,!,!,3200,91000,3.5,1,~,91000,0.3,*,66000,91000,72.5,2.3
Monmouthshire,W06000021,34700,90900,38.1,2.4,15400,90900,16.9,1.8,!,90900,!,!,2500,90900,2.7,0.8,1000,90900,1.1,0.5,48900,90900,53.7,2.5
Newport,W06000022,47100,146600,32.1,2.6,12000,146600,8.2,1.5,!,146600,!,!,13900,146600,9.5,1.6,500,146600,0.4,*,91300,146600,62.3,2.7
Aberdeen City,S12000033,50000,225100,22.2,2.5,4500,225100,2,0.8,!,225100,!,!,44900,225100,20,2.4,152900,225100,67.9,2.8,!,225100,!,!
Aberdeenshire,S12000034,76100,260700,29.2,2.8,14800,260700,5.7,1.4,!,260700,!,!,14500,260700,5.6,1.4,189100,260700,72.5,2.7,!,260700,!,!
Angus,S12000041,31600,115500,27.4,2.6,2600,115500,2.3,0.9,!,115500,!,!,5500,115500,4.7,1.2,89000,115500,77,2.4,~,115500,0.3,*
Argyll and Bute,S12000035,31300,84500,37.1,2.4,4800,84500,5.7,1.2,!,84500,!,!,2600,84500,3.1,0.9,56600,84500,67,2.4,~,84500,0.5,*
Clackmannanshire,S12000005,17900,50400,35.4,3.5,2000,50400,3.9,1.4,!,50400,!,!,2500,50400,5,1.6,38400,50400,76.3,3.1,!,50400,!,!
Dumfries and Galloway,S12000006,45200,147500,30.7,2.2,10000,147500,6.8,1.2,!,147500,!,!,2300,147500,1.6,0.6,103600,147500,70.2,2.1,800,147500,0.6,0.4
Dundee City,S12000042,26800,144500,18.5,2.1,1900,144500,1.3,0.6,!,144500,!,!,17000,144500,11.7,1.7,107700,144500,74.5,2.3,!,144500,!,!
East Ayrshire,S12000008,40400,120700,33.5,2.6,1700,120700,1.4,0.7,!,120700,!,!,2400,120700,2,0.8,97300,120700,80.5,2.2,!,120700,!,!
East Dunbartonshire,S12000045,44100,106500,41.4,2.6,1300,106500,1.2,0.6,!,106500,!,!,3100,106500,2.9,0.9,83400,106500,78.3,2.2,!,106500,!,!
East Lothian,S12000010,33500,101500,33,2.7,3300,101500,3.2,1,!,101500,!,!,3900,101500,3.9,1.1,75300,101500,74.2,2.5,~,101500,0.2,*
East Renfrewshire,S12000011,33300,94100,35.4,2.7,1700,94100,1.8,0.7,!,94100,!,!,4700,94100,5,1.2,69400,94100,73.7,2.5,!,94100,!,!
City of Edinburgh,S12000036,156700,490200,32,2.9,15700,490200,3.2,1.1,!,490200,!,!,64700,490200,13.2,2.1,303100,490200,61.8,3,!,490200,!,!
Na h-Eileanan Siar,S12000013,8200,26700,30.7,3.8,1100,26700,4.2,1.6,!,26700,!,!,~,26700,1.1,*,22100,26700,83,3.1,!,26700,!,!
Falkirk,S12000014,37400,157000,23.8,2.2,2800,157000,1.8,0.7,!,157000,!,!,8400,157000,5.3,1.2,123900,157000,78.9,2.1,700,157000,0.4,*
Fife,S12000015,103000,362400,28.4,2.6,9600,362400,2.6,0.9,!,362400,!,!,21300,362400,5.9,1.4,261100,362400,72,2.6,!,362400,!,!
Glasgow City,S12000046,163100,589300,27.7,2.6,4800,589300,0.8,*,!,589300,!,!,84700,589300,14.4,2,410500,589300,69.7,2.6,!,589300,!,!
Highland,S12000017,77000,230500,33.4,2.6,11500,230500,5,1.2,!,230500,!,!,9000,230500,3.9,1.1,160500,230500,69.6,2.5,~,230500,0.2,*
Inverclyde,S12000018,27000,78000,34.6,2.7,1000,78000,1.2,0.6,!,78000,!,!,900,78000,1.1,0.6,63800,78000,81.8,2.2,~,78000,0.4,*
Midlothian,S12000019,25300,86700,29.2,3.1,2700,86700,3.1,1.2,!,86700,!,!,3200,86700,3.7,1.3,66500,86700,76.7,2.9,!,86700,!,!
Moray,S12000020,25600,93500,27.4,2.5,4500,93500,4.8,1.2,!,93500,!,!,3700,93500,4,1.1,65700,93500,70.3,2.5,~,93500,0.4,*
North Ayrshire,S12000021,48400,134400,36,2.6,2200,134400,1.6,0.7,!,134400,!,!,1500,134400,1.1,0.6,104200,134400,77.5,2.3,600,134400,0.4,*
North Lanarkshire,S12000044,69000,339200,20.4,2.1,4600,339200,1.4,0.6,!,339200,!,!,13100,339200,3.9,1,287900,339200,84.9,1.9,!,339200,!,!
Orkney Islands,S12000023,5600,21500,26.1,5.4,1400,21500,6.5,3,!,21500,!,!,900,21500,4.1,2.4,16900,21500,78.6,5,900,21500,4.3,*
Perth and Kinross,S12000024,56000,146300,38.3,2.8,4500,146300,3.1,1,!,146300,!,!,8200,146300,5.6,1.3,103900,146300,71,2.6,1200,146300,0.8,0.5
Renfrewshire,S12000038,58800,173400,33.9,2.4,1500,173400,0.8,0.5,!,173400,!,!,9100,173400,5.3,1.2,132900,173400,76.6,2.2,~,173400,0.3,*
Scottish Borders,S12000026,36000,112900,31.9,2.6,7600,112900,6.8,1.4,!,112900,!,!,4100,112900,3.6,1,73500,112900,65.1,2.6,~,112900,0.3,*
Shetland Islands,S12000027,7200,23100,31.3,5.7,1000,23100,4.5,2.6,!,23100,!,!,800,23100,3.6,2.3,17100,23100,74,5.4,!,23100,!,!
South Ayrshire,S12000028,40200,111100,36.2,2.5,2400,111100,2.1,0.8,!,111100,!,!,2800,111100,2.5,0.8,86400,111100,77.8,2.2,~,111100,0.2,*
South Lanarkshire,S12000029,79400,311600,25.5,2.3,4500,311600,1.4,0.6,!,311600,!,!,8600,311600,2.8,0.9,252200,311600,80.9,2.1,800,311600,0.2,*
Stirling,S12000030,37900,89000,42.5,2.7,2400,89000,2.7,0.9,!,89000,!,!,6400,89000,7.2,1.4,62200,89000,69.9,2.5,~,89000,0.3,*
West Dunbartonshire,S12000039,24800,88800,28,2.6,800,88800,0.9,0.5,!,88800,!,!,1500,88800,1.7,0.7,71900,88800,81,2.2,!,88800,!,!
West Lothian,S12000040,51800,176800,29.3,2.5,3800,176800,2.1,0.8,!,176800,!,!,11000,176800,6.2,1.3,128300,176800,72.5,2.4,1500,176800,0.9,0.5
Column Total,Column Total,29350400,62666900,46.8,0.2,28412600,62666900,45.3,0.2,!,62666900,!,!,6735500,62666900,10.7,0.1,4358400,62666900,7,0.1,2330900,62666900,3.7,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,These figures are suppressed as statistically unreliable,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
!,Estimate and confidence interval not available since the group sample size,,,,,,,,,,,,,,,,,,,,,,,,
,is zero or disclosive (0-2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
*,Estimate and confidence interval unreliable since the group sample size is,,,,,,,,,,,,,,,,,,,,,,,,
,small (3-9),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
~,Estimate is less than 500,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
-,These figures are missing.,,,,,,,,,,,,,,,,,,,,,,,,
