,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2015-Jun 2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% who gave national identity as British,Conf,Numerator,Denominator,% who gave national identity as English,Conf,Numerator,Denominator,% who gave national identity as Irish,Conf,Numerator,Denominator,% who gave national identity as Other,Conf,Numerator,Denominator,% who gave national identity as Scottish,Conf,Numerator,Denominator,% who gave national identity as Welsh,Conf
Chiltern,E07000005,56400,93600,60.3,5.2,32800,93600,35,5.1,!,93600,!,!,8900,93600,9.5,3.1,800,93600,0.9,*,2600,93600,2.8,*
South Bucks,E07000006,35400,68300,51.8,6.5,29200,68300,42.8,6.4,!,68300,!,!,9100,68300,13.3,4.4,1100,68300,1.5,*,1000,68300,1.5,*
Wycombe,E07000007,102300,174400,58.7,4.1,65400,174400,37.5,4,!,174400,!,!,19400,174400,11.1,2.6,!,174400,!,!,2000,174400,1.2,*
Eastbourne,E07000061,41600,100600,41.4,5.7,56800,100600,56.5,5.8,!,100600,!,!,12700,100600,12.6,3.9,2000,100600,2,*,!,100600,!,!
Hastings,E07000062,36300,90500,40.2,6.2,62200,90500,68.8,5.9,!,90500,!,!,2100,90500,2.3,*,!,90500,!,!,!,90500,!,!
Lewes,E07000063,49400,97500,50.6,6,49300,97500,50.6,6,!,97500,!,!,5600,97500,5.7,2.8,1100,97500,1.1,*,!,97500,!,!
Rother,E07000064,32700,90200,36.3,5.8,61600,90200,68.3,5.6,!,90200,!,!,6800,90200,7.5,3.2,900,90200,1,*,#,90200,1.1,*
Wealden,E07000065,67800,156400,43.4,4.1,99700,156400,63.7,4,!,156400,!,!,8200,156400,5.3,1.9,1400,156400,0.9,*,1200,156400,0.8,*
Basingstoke and Deane,E07000084,97900,173600,56.4,4.9,83500,173600,48.1,5,!,173600,!,!,15500,173600,8.9,2.8,#,173600,0.7,*,2100,173600,1.2,*
East Hampshire,E07000085,71400,116000,61.5,5.8,54000,116000,46.6,6,!,116000,!,!,6900,116000,6,2.8,1300,116000,1.1,*,!,116000,!,!
