
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 8 April 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jul 2015-Jun 2016"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Percentage of population who are white UK national","Conf","Numerator","Denominator","Percentage of population who are white not UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority not UK national","Conf"
"Midlothian","S12000019",82000,86400,94.9,2.4,1600,86400,1.8,1.4,1200,86400,1.4,1.3,1600,86400,1.8,1.4
"Moray","S12000020",89500,93300,96.0,1.7,3400,93300,3.7,1.6,"!",93300,"!","!","!",93300,"!","!"
"North Ayrshire","S12000021",132500,134400,98.6,1.0,1000,134400,0.8,0.8,800,134400,0.6,"*","!",134400,"!","!"
"North Lanarkshire","S12000044",320100,339200,94.4,1.9,6800,339200,2.0,1.2,9900,339200,2.9,1.4,2500,339200,0.7,"*"
"Orkney Islands","S12000023",21200,21400,98.9,2.0,"~",21400,0.8,"*","!",21400,"!","!","!",21400,"!","!"
"Perth and Kinross","S12000024",137600,146300,94.0,2.2,6700,146300,4.6,1.9,1200,146300,0.8,"*",900,146300,0.6,"*"
"Renfrewshire","S12000038",161600,173400,93.2,2.1,6400,173400,3.7,1.5,2800,173400,1.6,1.0,2600,173400,1.5,1.0
"Scottish Borders","S12000026",108000,112900,95.7,1.8,3900,112900,3.4,1.6,700,112900,0.6,"*","~",112900,0.3,"*"
"Shetland Islands","S12000027",22600,23100,97.8,2.8,"~",23100,1.6,"*","!",23100,"!","!","!",23100,"!","!"
"South Ayrshire","S12000028",108100,111000,97.5,1.3,2100,111000,1.9,1.1,"~",111000,0.3,"*","~",111000,0.4,"*"
"South Lanarkshire","S12000029",296700,310600,95.5,1.7,4800,310600,1.5,1.0,6600,310600,2.1,1.2,2600,310600,0.8,0.8
"Stirling","S12000030",82300,89000,92.4,2.3,4100,89000,4.6,1.8,900,89000,1.0,0.9,1800,89000,2.0,1.2
"West Dunbartonshire","S12000039",86400,88800,97.3,1.5,1100,88800,1.2,1.0,1300,88800,1.5,1.1,"!",88800,"!","!"
