
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 8 April 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jul 2015-Jun 2016"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Percentage of population who are white UK national","Conf","Numerator","Denominator","Percentage of population who are white not UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority not UK national","Conf"
"Blaby","E07000129",82600,95100,86.8,7.0,1700,95100,1.8,"*",10400,95100,11.0,6.4,"!",95100,"!","!"
"Charnwood","E07000130",145300,174800,83.1,5.7,11000,174800,6.3,3.7,15100,174800,8.7,4.3,3400,174800,1.9,"*"
"Harborough","E07000131",84200,87800,95.9,4.0,"!",87800,"!","!",3000,87800,3.4,"*","!",87800,"!","!"
"Hinckley and Bosworth","E07000132",101800,108100,94.2,4.6,2000,108100,1.9,"*",2100,108100,2.0,"*","#",108100,2.0,"*"
"Melton","E07000133",50400,50700,99.3,2.3,"!",50700,"!","!","!",50700,"!","!","!",50700,"!","!"
"North West Leicestershire","E07000134",85600,96200,89.0,6.4,"#",96200,1.3,"*",7400,96200,7.7,5.5,"#",96200,2.0,"*"
"Oadby and Wigston","E07000135",38600,55100,70.1,11.3,"#",55100,2.9,"*",13900,55100,25.3,10.7,1000,55100,1.8,"*"
"Boston","E07000136",49300,66500,74.2,11.2,17200,66500,25.8,11.2,"!",66500,"!","!","!",66500,"!","!"
"East Lindsey","E07000137",131200,133800,98.1,2.4,"#",133800,1.0,"*","!",133800,"!","!","!",133800,"!","!"
"Lincoln","E07000138",85000,95500,89.0,6.8,6800,95500,7.1,5.6,1400,95500,1.5,"*","#",95500,2.4,"*"
"North Kesteven","E07000139",107500,111600,96.3,3.6,"!",111600,"!","!","#",111600,2.2,"*","!",111600,"!","!"
"South Holland","E07000140",82500,90600,91.1,5.6,7000,90600,7.7,5.2,"!",90600,"!","!","!",90600,"!","!"
"South Kesteven","E07000141",127400,138200,92.2,4.7,7400,138200,5.4,3.9,"!",138200,"!","!",2600,138200,1.9,"*"
"West Lindsey","E07000142",89700,91500,98.1,2.5,"#",91500,1.5,"*","!",91500,"!","!","!",91500,"!","!"
"Corby","E07000150",51500,67000,76.9,10.5,14700,67000,21.9,10.3,"!",67000,"!","!","!",67000,"!","!"
"Daventry","E07000151",73400,78000,94.1,5.0,3400,78000,4.4,"*","!",78000,"!","!","!",78000,"!","!"
"East Northamptonshire","E07000152",81000,87900,92.1,5.6,4600,87900,5.3,4.7,"#",87900,1.2,"*","#",87900,1.4,"*"
"Kettering","E07000153",80800,97200,83.1,8.0,5300,97200,5.4,4.8,9100,97200,9.4,6.2,2000,97200,2.1,"*"
"Northampton","E07000154",166800,220900,75.5,5.6,27500,220900,12.4,4.3,21500,220900,9.7,3.9,5100,220900,2.3,2.0
"South Northamptonshire","E07000155",83800,88500,94.7,4.6,"#",88500,1.5,"*",3000,88500,3.3,"*","!",88500,"!","!"
"Wellingborough","E07000156",69200,76400,90.5,6.1,2500,76400,3.2,"*",4800,76400,6.3,5.1,"!",76400,"!","!"
"Ashfield","E07000170",119900,122600,97.7,2.8,"!",122600,"!","!","#",122600,2.0,"*","!",122600,"!","!"
"Bassetlaw","E07000171",105200,111700,94.2,4.7,4600,111700,4.1,4.0,"!",111700,"!","!","!",111700,"!","!"
"Broxtowe","E07000172",100600,111900,90.0,6.0,1900,111900,1.7,"*",5200,111900,4.7,4.2,4100,111900,3.7,"*"
"Gedling","E07000173",103400,115800,89.3,5.8,4900,115800,4.2,3.7,5900,115800,5.1,4.1,"#",115800,1.4,"*"
"Mansfield","E07000174",90800,105500,86.0,6.8,7400,105500,7.0,5.0,"#",105500,2.7,"*",4500,105500,4.2,4.0
"Newark and Sherwood","E07000175",108300,116800,92.7,5.2,5400,116800,4.6,4.2,"#",116800,2.2,"*","!",116800,"!","!"
"Rushcliffe","E07000176",108400,113000,95.9,3.9,1900,113000,1.6,"*","!",113000,"!","!","#",113000,1.7,"*"
"Herefordshire, County of","E06000019",169600,185400,91.5,2.0,12700,185400,6.8,1.8,2100,185400,1.1,0.7,1100,185400,0.6,0.5
"Shropshire","E06000051",289600,304000,95.3,1.7,8700,304000,2.9,1.3,3900,304000,1.3,0.9,1800,304000,0.6,"*"
"Stoke-on-Trent","E06000021",198700,249600,79.6,3.3,8900,249600,3.6,1.5,30200,249600,12.1,2.7,11700,249600,4.7,1.7
"Telford and Wrekin","E06000020",151400,169600,89.3,2.5,5300,169600,3.2,1.4,8800,169600,5.2,1.8,4100,169600,2.4,1.2
"Cannock Chase","E07000192",93400,97000,96.3,4.1,"!",97000,"!","!","#",97000,2.6,"*","!",97000,"!","!"
"East Staffordshire","E07000193",98800,114000,86.6,6.3,6600,114000,5.8,4.3,7600,114000,6.7,4.6,1000,114000,0.9,"*"
"Lichfield","E07000194",95900,100900,95.1,4.4,"#",100900,1.6,"*","#",100900,2.1,"*","#",100900,1.1,"*"
"Newcastle-under-Lyme","E07000195",118000,126000,93.7,4.8,"!",126000,"!","!",3500,126000,2.8,"*",4000,126000,3.2,"*"
"South Staffordshire","E07000196",103400,108900,95.0,4.3,1200,108900,1.1,"*",3800,108900,3.5,"*","!",108900,"!","!"
"Stafford","E07000197",118400,130400,90.8,5.0,"!",130400,"!","!",9300,130400,7.2,4.4,1800,130400,1.4,"*"
"Staffordshire Moorlands","E07000198",94300,96600,97.6,3.2,"#",96600,2.0,"*","!",96600,"!","!","!",96600,"!","!"
"Tamworth","E07000199",71600,76800,93.3,6.4,"#",76800,2.3,"*",2900,76800,3.8,"*","!",76800,"!","!"
"North Warwickshire","E07000218",56900,62100,91.7,8.2,"#",62100,3.7,"*",2900,62100,4.6,"*","!",62100,"!","!"
"Nuneaton and Bedworth","E07000219",111100,125700,88.3,5.5,2500,125700,2.0,"*",9800,125700,7.8,4.6,2300,125700,1.9,"*"
"Rugby","E07000220",87600,101900,86.0,5.9,6200,101900,6.1,4.1,5200,101900,5.1,3.8,2800,101900,2.8,"*"
"Stratford-on-Avon","E07000221",111100,120000,92.5,3.9,5200,120000,4.3,3.0,2600,120000,2.2,"*",1200,120000,1.0,"*"
"Warwick","E07000222",114800,138800,82.7,5.8,7800,138800,5.6,3.5,12700,138800,9.2,4.4,3500,138800,2.5,2.4
"Birmingham","E08000025",561100,1105800,50.7,3.2,52500,1105800,4.7,1.4,394300,1105800,35.7,3.1,97900,1105800,8.9,1.8
"Coventry","E08000026",212200,344900,61.5,3.7,29500,344900,8.6,2.1,60300,344900,17.5,2.9,42900,344900,12.4,2.5
"Dudley","E08000027",274200,313800,87.4,2.7,5200,313800,1.7,1.0,28800,313800,9.2,2.3,5600,313800,1.8,1.1
"Sandwell","E08000028",203700,317200,64.2,3.6,10500,317200,3.3,1.3,79300,317200,25.0,3.2,23700,317200,7.5,2.0
"Solihull","E08000029",175300,209200,83.8,2.6,7400,209200,3.5,1.3,22100,209200,10.6,2.2,4500,209200,2.1,1.0
"Walsall","E08000030",202400,274200,73.8,3.3,8000,274200,2.9,1.3,54200,274200,19.8,3.0,9600,274200,3.5,1.4
"Wolverhampton","E08000031",168500,252100,66.8,3.5,14300,252100,5.7,1.7,50300,252100,19.9,3.0,19100,252100,7.6,2.0
"Bromsgrove","E07000234",87200,93100,93.7,4.5,1300,93100,1.4,"*",4600,93100,4.9,4.0,"!",93100,"!","!"
"Malvern Hills","E07000235",70400,74100,94.9,4.7,"!",74100,"!","!",2200,74100,2.9,"*","!",74100,"!","!"
"Redditch","E07000236",68200,84200,81.0,7.6,6300,84200,7.4,5.1,8900,84200,10.5,5.9,900,84200,1.1,"*"
